file,steps,final_prey,final_predator,min_prey,min_predator,max_prey,max_predator,mean_prey,mean_predator,final_reward,mean_reward,predation_total,prey_births_total,pred_births_total,prey_deaths_total,pred_deaths_total,predator_zero_steps,prey_zero_steps,predator_gt2_steps,predator_gt1_steps,oscillations_prey,oscillations_pred
cycle5_predator_seed0__best_prey_run39_cycle5__best_predator_run39_cycle5_500steps.csv,500,11,9,11,9,30,12,20.348,11.214,46.020000000000486,0.09203999999999998,19,0,1,0,0,0,0,500,500,0,1
cycle5_predator_seed1__best_prey_run39_cycle5__best_predator_run39_cycle5_500steps.csv,500,10,11,10,11,30,12,18.336,11.554,71.14333333333254,0.14228666666666662,20,0,1,0,0,0,0,500,500,0,1
cycle5_predator_seed2__best_prey_run39_cycle5__best_predator_run39_cycle5_431steps.csv,431,6,9,6,9,30,12,19.633410672853827,11.443155452436194,11.45333333333268,0.026573859242072652,24,0,1,0,1,0,0,431,431,0,1
cycle5_prey_seed0__best_prey_run39_cycle5__best_predator_run39_cycle5_356steps.csv,356,15,9,15,9,31,11,25.064606741573034,10.896067415730338,14140.879999999892,39.72157303370787,16,0,1,3,0,0,0,356,356,0,1
cycle5_prey_seed1__best_prey_run39_cycle5__best_predator_run39_cycle5_226steps.csv,226,18,11,18,10,31,11,26.0,10.960176991150442,9023.479999999949,39.926902654867256,13,0,1,1,0,0,0,226,226,0,0
cycle5_prey_seed2__best_prey_run39_cycle5__best_predator_run39_cycle5_177steps.csv,177,24,10,24,10,31,10,30.598870056497177,10.0,6981.459999999969,39.4432768361582,7,0,0,4,0,0,0,177,177,0,0
