step,reward,cumulative_reward,main_agent_type,main_agent_energy,main_agent_sensor_flag,main_agent_target_detected,prey_population,predator_population,total_alive,avg_prey_energy,avg_predator_energy,min_prey_energy,max_prey_energy,min_predator_energy,max_predator_energy,cumulative_prey_births,cumulative_predator_births,cumulative_predation_events,cumulative_prey_deaths,cumulative_predator_deaths,prey_model_path,predator_model_path,run_name,seed,long_episode_steps
959,-0.01,0.35000000000052145,PREY,83.43999999999937,0,1,18,1,19,85.70666666666612,0.2599999999991577,83.43999999999937,85.83999999999946,0.2599999999991577,0.2599999999991577,0,0,13,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
960,-0.01,0.34000000000052144,PREY,83.31999999999937,0,1,18,1,19,85.5866666666661,0.1399999999991577,83.31999999999937,85.71999999999946,0.1399999999991577,0.1399999999991577,0,0,13,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
961,-0.01,0.33000000000052143,PREY,83.19999999999936,0,1,18,1,19,85.46666666666611,0.01999999999915769,83.19999999999936,85.59999999999945,0.01999999999915769,0.01999999999915769,0,0,13,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
962,-0.01,0.3200000000005214,PREY,83.07999999999936,0,1,18,0,18,85.34666666666612,0.0,83.07999999999936,85.47999999999945,0.0,0.0,0,0,13,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
963,-0.01,0.3100000000005214,PREY,82.95999999999935,0,1,18,0,18,85.2266666666661,0.0,82.95999999999935,85.35999999999945,0.0,0.0,0,0,13,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
964,-0.01,0.3000000000005214,PREY,82.83999999999935,0,1,18,0,18,85.10666666666609,0.0,82.83999999999935,85.23999999999944,0.0,0.0,0,0,13,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
965,-0.01,0.2900000000005214,PREY,82.71999999999935,0,1,18,0,18,84.9866666666661,0.0,82.71999999999935,85.11999999999944,0.0,0.0,0,0,13,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
966,-0.01,0.2800000000005214,PREY,82.59999999999934,0,1,18,0,18,84.8666666666661,0.0,82.59999999999934,84.99999999999943,0.0,0.0,0,0,13,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
967,-0.01,0.2700000000005214,PREY,82.47999999999934,0,1,18,0,18,84.74666666666609,0.0,82.47999999999934,84.87999999999943,0.0,0.0,0,0,13,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
968,-0.01,0.26000000000052137,PREY,82.35999999999933,0,1,18,0,18,84.62666666666607,0.0,82.35999999999933,84.75999999999942,0.0,0.0,0,0,13,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
