step,prey_population,predator_population,total_alive,system_coexistence_score,system_extinct,avg_prey_energy,avg_predator_energy,min_prey_energy,max_prey_energy,min_predator_energy,max_predator_energy,cumulative_prey_births,cumulative_predator_births,cumulative_predation_events,cumulative_prey_deaths,cumulative_predator_deaths,reward,cumulative_reward,reference_agent_type,reference_agent_energy,reference_agent_context,reference_agent_target_detected,prey_model_path,predator_model_path,run_name,seed,long_episode_steps
1,31,10,41,0.5454545454545454,0,95.6325806451613,84.58000000000001,50.0,100.0,84.58,84.58,1,0,0,0,0,39.99,39.99,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle1.pkl,src\models\trained_predator_43_protocol2_cycle1.pkl,seed1,43,2000
2,31,10,41,0.5454545454545454,0,97.95774193548387,84.18999999999998,49.730000000000004,100.0,84.16,84.46,1,0,0,0,0,79.98,119.97,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle1.pkl,src\models\trained_predator_43_protocol2_cycle1.pkl,seed1,43,2000
3,31,10,41,0.5454545454545454,0,97.93161290322581,83.77000000000001,49.46000000000001,100.0,83.74,84.03999999999999,1,0,0,0,0,119.97,239.94,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle1.pkl,src\models\trained_predator_43_protocol2_cycle1.pkl,seed1,43,2000
4,30,10,40,0.5909090909090908,0,99.946,84.98799999999999,99.45999999999998,100.0,83.32,100.0,1,0,1,1,0,159.96,399.9,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle1.pkl,src\models\trained_predator_43_protocol2_cycle1.pkl,seed1,43,2000
5,30,11,41,0.7083333333333333,0,99.93699999999998,77.78909090909089,99.18999999999997,100.0,45.0,99.58,1,1,1,1,0,199.95000000000002,599.85,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle1.pkl,src\models\trained_predator_43_protocol2_cycle1.pkl,seed1,43,2000
6,28,11,39,0.7916666666666667,0,99.94214285714285,81.2890909090909,99.18999999999997,100.0,44.580000000000005,100.0,1,1,3,3,0,239.94000000000003,839.7900000000001,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle1.pkl,src\models\trained_predator_43_protocol2_cycle1.pkl,seed1,43,2000
7,28,11,39,0.7916666666666667,0,99.99035714285715,80.89636363636362,99.72999999999999,100.0,44.16000000000001,99.58,1,1,3,3,0,279.93,1119.72,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle1.pkl,src\models\trained_predator_43_protocol2_cycle1.pkl,seed1,43,2000
8,27,11,38,0.8333333333333333,0,99.98,80.65636363636362,99.72999999999999,100.0,43.740000000000016,100.0,1,1,4,4,0,319.92,1439.64,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle1.pkl,src\models\trained_predator_43_protocol2_cycle1.pkl,seed1,43,2000
9,27,11,38,0.8333333333333333,0,99.98,80.26363636363637,99.45999999999998,100.0,43.32000000000002,99.58,1,1,4,4,0,359.91,1799.5500000000002,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle1.pkl,src\models\trained_predator_43_protocol2_cycle1.pkl,seed1,43,2000
10,27,11,38,0.8333333333333333,0,99.98,79.87090909090907,99.72999999999999,100.0,42.90000000000003,99.16,1,1,4,4,0,399.90000000000003,2199.4500000000003,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle1.pkl,src\models\trained_predator_43_protocol2_cycle1.pkl,seed1,43,2000
