time,prey,predator
0.0,538.0,20.0
0.06508135168961202,539.7026887406014,19.800334531829442
0.13016270337922403,541.4671651352892,19.603468940464552
0.19524405506883605,543.2930538729064,19.409387654976303
0.26032540675844806,545.1799930023839,19.21807461942742
0.3254067584480601,547.1276352939589,19.029513186443737
0.3904881101376721,549.1356453507491,18.843686325955503
0.4555694618272841,551.2036990956625,18.660576663064578
0.5206508135168961,553.331483771398,18.480166478044435
0.5857321652065082,555.5186979404449,18.302437706340147
0.6508135168961202,557.7650514850832,18.12737193856841
0.7158948685857321,560.0702649093388,17.954950462376488
0.7809762202753442,562.4340668123008,17.785154415633563
0.8460575719649562,564.8561965381201,17.617964627295287
0.9111389236545682,567.3364012911337,17.453361787697702
0.9762202753441802,569.8744357834436,17.291326469553987
1.0413016270337923,572.4700622349178,17.131839127954414
1.1063829787234043,575.1230503731898,16.974880100366384
1.1714643304130163,577.8331774336586,16.82042960663441
1.2365456821026284,580.600227655407,16.66846777268702
1.3016270337922404,583.4239894924343,16.518974762717214
1.3667083854818523,586.3042586622732,16.371930635735314
1.4317897371714643,589.2408353142636,16.227315476626572
1.4968710888610763,592.2335234682753,16.08510942239779
1.5619524405506884,595.2821310147083,15.945292662177291
1.6270337922403004,598.386469714493,15.807845437214946
1.6921151439299125,601.5463551990897,15.672748040882158
1.7571964956195245,604.7616069704889,15.539980818671873
1.8222778473091363,608.0320463571398,15.409524239316513
1.8873591989987484,611.3574963136753,15.28135890247295
1.9524405506883604,614.7377829262724,15.15546548528262
2.0175219023779727,618.172732561055,15.031824840810957
2.0826032540675845,621.6621718488515,14.910417998575802
2.1476846057571963,625.2059276851948,14.791226164547394
2.2127659574468086,628.8038272303228,14.674230721148376
2.2778473091364204,632.4556979091778,14.559413227253794
2.3429286608260327,636.1613674114069,14.44675541819109
2.4080100125156445,639.9206615919647,14.336239256485863
2.4730913642052568,643.7334039473811,14.2278469441937
2.5381727158948686,647.5994178761432,14.121560868165249
2.603254067584481,651.5185234104262,14.017363679180525
2.6683354192740927,655.4905371816159,13.915238292783195
2.7334167709637045,659.515272420309,13.815167889280573
2.7984981226533168,663.5925389563132,13.717135913743622
2.8635794743429286,667.7221432186469,13.621126076006954
2.928660826032541,671.9038882355394,13.527122350668824
2.9937421777221527,676.1375729104482,13.43510898885313
3.058823529411765,680.4229884608283,13.345070574897598
3.1239048811013768,684.7599230667901,13.256991950438668
3.1889862327909886,689.1481584200278,13.17085827234962
3.254067584480601,693.587469047091,13.0866550238689
3.3191489361702127,698.077622309384,13.004368014600132
3.384230287859825,702.6183784031667,12.923983380512107
3.4493116395494368,707.2094903595539,12.845487583938782
3.514392991239049,711.8507040445157,12.768867413579288
3.579474342928661,716.5417581460887,12.694109984642594
3.6445556946182727,721.2823807773739,12.621202776174437
3.709637046307885,726.0722912431754,12.550133608485332
3.7747183979974968,730.9112003260411,12.480890643186907
3.839799749687109,735.7988078012297,12.41346241217398
3.904881101376721,740.7348024367102,12.347837817624578
3.969962453066333,745.7188619931628,12.284006131999922
4.035043804755945,750.7506532239781,12.221956998044435
4.100125156445557,755.8298318752574,12.161680428785742
4.165206508135169,760.9560426858127,12.103166807534665
4.230287859824781,766.1289173883351,12.046406904418333
4.295369211514393,771.3480733396439,11.991391884381983
4.360450563204005,776.6131164724197,11.938113284716719
4.425531914893617,781.9236379042433,11.886563046200408
4.490613266583229,787.2792138689255,11.836733513694973
4.555694618272841,792.6794057165083,11.788617436146414
4.6207759699624535,798.1237599132642,11.742207966584784
