Parameter,ΔN* (%),ΔP* (%)
r,0.0,10.000000000000005
K,0.0,0.48145299908579675
a,-9.090909090909088,-8.653224546285648
e,-9.0909090909091,0.48145299908579675
d,10.000000000000014,-0.529598298994368
