Parameter,ΔN* (%),ΔP* (%)
r,0.0,10.000000000000016
K,0.0,2.164675733001954
a,-9.090909090909086,-7.123022060907328
e,-9.090909090909076,2.164675733001954
d,10.0,-2.3811433063021403
