Dataset,Model,k,RMSE prey,RMSE pred,AIC
Hare-Lynx,Lotka-Volterra,4,5.204501988578833,3.3181078718489108,84.44267036386441
Hare-Lynx,Rosenzweig-MacArthur,5,5.627043958470148,3.483808933230128,89.3725730919232
Isle Royale,Lotka-Volterra,4,336.91314716834546,7.634978398532849,624.9286793755333
Isle Royale,Rosenzweig-MacArthur,5,342.9520639980234,7.095978997941563,628.8072974242405
