step,prey_population,predator_population,total_alive,system_coexistence_score,system_extinct,avg_prey_energy,avg_predator_energy,min_prey_energy,max_prey_energy,min_predator_energy,max_predator_energy,cumulative_prey_births,cumulative_predator_births,cumulative_predation_events,cumulative_prey_deaths,cumulative_predator_deaths,reward,cumulative_reward,reference_agent_type,reference_agent_energy,reference_agent_context,reference_agent_target_detected,prey_model_path,predator_model_path,run_name,seed,long_episode_steps
1,33,11,44,0.5833333333333333,0,90.43,77.80000000000001,50.0,100.0,45.0,84.58,3,1,0,0,0,39.99,39.99,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed45,87,2000
2,32,12,44,0.7307692307692308,0,97.1340625,73.26208333333332,69.45999999999998,100.0,44.580000000000005,84.46,3,2,1,1,0,79.98,119.97,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed45,87,2000
3,32,12,44,0.7307692307692308,0,98.06593749999999,72.86708333333333,69.18999999999997,100.0,44.16000000000001,84.33999999999999,3,2,1,1,0,119.97,239.94,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed45,87,2000
4,32,12,44,0.7307692307692308,0,100.0,72.47208333333332,100.0,100.0,43.740000000000016,84.21999999999998,3,2,1,1,0,159.96,399.9,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed45,87,2000
5,32,12,44,0.7307692307692308,0,99.9746875,72.07708333333333,99.72999999999999,100.0,43.32000000000002,84.09999999999998,3,2,1,1,0,199.95000000000002,599.85,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed45,87,2000
6,30,12,42,0.8076923076923077,0,99.982,75.31979166666666,99.45999999999998,100.0,42.90000000000003,100.0,3,2,3,3,0,239.94000000000003,839.7900000000001,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed45,87,2000
7,29,12,41,0.8461538461538463,0,100.0,76.44479166666666,100.0,100.0,42.48000000000003,100.0,3,2,4,4,0,279.93,1119.72,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed45,87,2000
8,29,12,41,0.8461538461538463,0,100.0,76.07479166666667,100.0,100.0,42.06000000000004,99.58,3,2,4,4,0,319.92,1439.64,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed45,87,2000
9,32,12,44,0.7307692307692308,0,92.951875,75.70479166666665,50.0,100.0,41.64000000000004,99.16,6,2,4,4,0,359.91,1799.5500000000002,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed45,87,2000
10,34,12,46,0.6538461538461537,0,94.67941176470588,75.33479166666666,50.0,100.0,41.22000000000005,98.74,8,2,4,4,0,399.90000000000003,2199.4500000000003,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed45,87,2000
11,35,12,47,0.6153846153846154,0,97.25571428571429,74.96479166666666,50.0,100.0,40.800000000000054,98.32,9,2,4,4,0,439.89000000000004,2639.34,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed45,87,2000
12,35,12,47,0.6153846153846154,0,99.68,74.59479166666665,89.88,100.0,40.38000000000006,97.89999999999999,9,2,4,4,0,479.88000000000005,3119.2200000000003,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed45,87,2000
13,34,12,46,0.6538461538461537,0,100.0,76.31062499999999,100.0,100.0,40.68000000000006,97.47999999999999,9,2,5,5,0,519.87,3639.09,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed45,87,2000
14,34,12,46,0.6538461538461537,0,100.0,75.940625,100.0,100.0,40.26000000000006,97.05999999999999,9,2,5,5,0,559.86,4198.95,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed45,87,2000
15,34,12,46,0.6538461538461537,0,100.0,75.57062499999999,100.0,100.0,39.84000000000007,96.63999999999999,9,2,5,5,0,599.85,4798.8,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed45,87,2000
16,34,12,46,0.6538461538461537,0,100.0,75.20062499999999,100.0,100.0,39.42000000000007,96.21999999999998,9,2,5,5,0,639.84,5438.64,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed45,87,2000
17,37,12,49,0.5384615384615385,0,93.91162162162162,74.83062499999998,50.0,100.0,39.00000000000008,95.79999999999998,12,2,5,5,0,679.83,6118.47,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed45,87,2000
