step,prey_population,predator_population,total_alive,system_coexistence_score,system_extinct,avg_prey_energy,avg_predator_energy,min_prey_energy,max_prey_energy,min_predator_energy,max_predator_energy,cumulative_prey_births,cumulative_predator_births,cumulative_predation_events,cumulative_prey_deaths,cumulative_predator_deaths,reward,cumulative_reward,reference_agent_type,reference_agent_energy,reference_agent_context,reference_agent_target_detected,prey_model_path,predator_model_path,run_name,seed,long_episode_steps
1,35,11,46,0.5,0,89.28571428571429,77.80000000000001,50.0,100.0,45.0,84.58,5,1,0,0,0,54.99,54.99,PREY,87.5,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
2,35,11,46,0.5,0,98.54657142857143,77.38,89.88,100.0,44.580000000000005,84.16,5,1,0,0,0,94.98,149.97,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
3,35,11,46,0.5,0,99.96914285714286,76.96,99.45999999999998,100.0,44.16000000000001,83.74,5,1,0,0,0,134.97,284.94,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
4,35,12,47,0.6153846153846154,0,99.946,70.99499999999999,99.18999999999997,100.0,43.740000000000016,83.32,5,2,0,0,0,174.96,459.9,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
5,35,12,47,0.6153846153846154,0,99.958,70.575,99.18999999999997,100.0,43.32000000000002,82.89999999999999,5,2,0,0,0,214.95000000000002,674.85,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
6,35,12,47,0.6153846153846154,0,99.93914285714285,70.17999999999999,98.91999999999996,100.0,42.90000000000003,82.77999999999999,5,2,0,0,0,254.94000000000003,929.7900000000001,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
7,33,12,45,0.6923076923076923,0,99.9509090909091,73.38270833333333,98.64999999999995,100.0,42.48000000000003,100.0,5,2,2,2,0,294.93,1224.72,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
8,33,12,45,0.6923076923076923,0,99.93454545454546,72.98770833333333,98.37999999999994,100.0,42.06000000000004,99.58,5,2,2,2,0,334.92,1559.64,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
9,38,12,50,0.5,0,90.06052631578947,72.59270833333333,50.0,100.0,41.64000000000004,99.16,10,2,2,2,0,389.91,1949.5500000000002,PREY,87.5,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
10,40,12,52,0.42307692307692313,0,94.904,72.19770833333332,50.0,100.0,41.22000000000005,98.74,12,2,2,2,0,429.90000000000003,2379.4500000000003,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
11,41,12,53,0.3846153846153846,0,97.61780487804877,71.80270833333333,50.0,100.0,40.800000000000054,98.32,13,2,2,2,0,469.89000000000004,2849.34,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
12,41,12,53,0.3846153846153846,0,99.6609756097561,71.43270833333334,89.88,100.0,40.38000000000006,97.89999999999999,13,2,2,2,0,509.88000000000005,3359.2200000000003,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
13,41,12,53,0.3846153846153846,0,99.87487804878049,71.06270833333333,97.02999999999989,100.0,39.960000000000065,97.47999999999999,13,2,2,2,0,549.87,3909.09,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
14,40,12,52,0.42307692307692313,0,99.95275000000001,72.43270833333334,99.18999999999997,100.0,39.54000000000007,100.0,13,2,3,3,0,589.86,4498.95,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
15,40,12,52,0.42307692307692313,0,99.93625,72.06270833333335,98.91999999999996,100.0,39.120000000000076,99.58,13,2,3,3,0,629.85,5128.8,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
16,40,12,52,0.42307692307692313,0,99.88225,71.66770833333332,98.64999999999995,100.0,38.70000000000008,99.16,13,2,3,3,0,669.84,5798.64,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
17,45,12,57,0.23076923076923084,0,91.55599999999998,71.27270833333334,50.0,100.0,38.280000000000086,98.74,18,2,3,3,0,724.83,6523.47,PREY,87.5,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
18,48,12,60,0.11538461538461542,0,92.38479166666667,72.95229166666668,50.0,100.0,37.86000000000009,98.32,22,2,4,4,0,764.82,7288.29,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
19,50,12,62,0.03846153846153855,0,94.60400000000001,72.55729166666666,49.730000000000004,100.0,37.4400000000001,97.89999999999999,24,2,4,4,0,804.8100000000001,8093.1,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
20,50,12,62,0.03846153846153855,0,96.551,74.270625,49.46000000000001,100.0,37.0200000000001,97.47999999999999,25,2,5,5,0,844.8000000000001,8937.9,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
21,49,12,61,0.07692307692307687,0,98.95551020408165,74.92541666666668,76.56999999999996,100.0,36.60000000000011,97.05999999999999,25,2,6,6,0,884.7900000000001,9822.69,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
22,48,12,60,0.11538461538461542,0,99.12520833333333,76.63875,76.29999999999995,100.0,36.18000000000011,96.63999999999999,25,2,7,7,0,924.7800000000001,10747.470000000001,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
23,48,12,60,0.11538461538461542,0,99.34625,76.24374999999999,76.02999999999994,100.0,35.76000000000012,96.21999999999998,25,2,7,7,0,964.7700000000001,11712.240000000002,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
24,47,12,59,0.15384615384615374,0,99.28893617021276,77.93770833333333,75.75999999999993,100.0,35.340000000000124,95.79999999999998,25,2,8,8,0,1004.7600000000001,12717.000000000002,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed21,63,2000
