step,prey_population,predator_population,total_alive,system_coexistence_score,system_extinct,avg_prey_energy,avg_predator_energy,min_prey_energy,max_prey_energy,min_predator_energy,max_predator_energy,cumulative_prey_births,cumulative_predator_births,cumulative_predation_events,cumulative_prey_deaths,cumulative_predator_deaths,reward,cumulative_reward,reference_agent_type,reference_agent_energy,reference_agent_context,reference_agent_target_detected,prey_model_path,predator_model_path,run_name,seed,long_episode_steps
1,32,11,43,0.625,0,93.420625,77.80000000000001,50.0,100.0,45.0,84.58,2,1,0,0,0,39.99,39.99,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed26,68,2000
2,32,11,43,0.625,0,98.4046875,77.40727272727271,69.45999999999998,100.0,44.580000000000005,84.46,2,1,0,0,0,79.98,119.97,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed26,68,2000
3,32,11,43,0.625,0,99.011875,77.01454545454546,69.18999999999997,100.0,44.16000000000001,84.33999999999999,2,1,0,0,0,119.97,239.94,PREY,100.0,1,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed26,68,2000
4,32,11,43,0.625,0,99.00343749999999,76.62181818181817,68.91999999999996,100.0,43.740000000000016,84.21999999999998,2,1,0,0,0,119.46,359.4,PREY,99.72999999999999,1,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed26,68,2000
5,32,11,43,0.625,0,99.9746875,76.2290909090909,99.18999999999997,100.0,43.32000000000002,84.09999999999998,2,1,0,0,0,158.95,518.3499999999999,PREY,100.0,1,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed26,68,2000
6,32,11,43,0.625,0,99.94093749999999,75.86363636363636,98.91999999999996,100.0,42.90000000000003,83.97999999999998,2,1,0,0,0,158.44,676.79,PREY,99.72999999999999,1,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed26,68,2000
7,32,11,43,0.625,0,99.92406249999999,75.4981818181818,98.64999999999995,100.0,42.48000000000003,83.85999999999997,2,1,0,0,0,157.93,834.72,PREY,99.45999999999998,1,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed26,68,2000
8,32,11,43,0.625,0,99.94093749999999,75.10545454545455,98.37999999999994,100.0,42.06000000000004,83.73999999999997,2,1,0,0,0,197.42000000000002,1032.14,PREY,100.0,1,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed26,68,2000
9,33,11,44,0.5833333333333333,0,95.37272727272727,76.41999999999999,50.0,100.0,41.64000000000004,100.0,4,1,1,1,0,196.91000000000003,1229.0500000000002,PREY,99.72999999999999,1,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed26,68,2000
10,34,11,45,0.5416666666666667,0,96.36823529411765,76.02727272727272,50.0,100.0,41.22000000000005,99.58,5,1,1,1,0,236.40000000000003,1465.4500000000003,PREY,100.0,1,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed26,68,2000
11,34,11,45,0.5416666666666667,0,97.65117647058823,75.63454545454545,49.730000000000004,100.0,40.800000000000054,99.16,5,1,1,1,0,275.89000000000004,1741.3400000000004,PREY,100.0,1,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed26,68,2000
12,34,11,45,0.5416666666666667,0,98.7729411764706,75.24181818181819,86.56999999999996,100.0,40.38000000000006,98.74,5,1,1,1,0,315.38000000000005,2056.7200000000003,PREY,100.0,1,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed26,68,2000
