step,prey_population,predator_population,total_alive,system_coexistence_score,system_extinct,avg_prey_energy,avg_predator_energy,min_prey_energy,max_prey_energy,min_predator_energy,max_predator_energy,cumulative_prey_births,cumulative_predator_births,cumulative_predation_events,cumulative_prey_deaths,cumulative_predator_deaths,reward,cumulative_reward,reference_agent_type,reference_agent_energy,reference_agent_context,reference_agent_target_detected,prey_model_path,predator_model_path,run_name,seed,long_episode_steps
1,32,10,42,0.5,0,93.420625,84.58000000000001,50.0,100.0,84.58,84.58,2,0,0,0,0,39.99,39.99,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
2,32,10,42,0.5,0,96.64375000000001,84.16,69.45999999999998,100.0,84.16,84.16,2,0,0,0,0,79.98,119.97,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
3,32,10,42,0.5,0,96.9009375,83.74,69.18999999999997,100.0,83.74,83.74,2,0,0,0,0,119.97,239.94,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
4,30,10,40,0.5909090909090908,0,98.46633333333332,86.68599999999999,68.91999999999996,100.0,83.32,100.0,2,0,2,2,0,159.96,399.9,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
5,30,10,40,0.5909090909090908,0,98.46633333333332,86.326,68.64999999999995,100.0,82.89999999999999,99.58,2,0,2,2,0,199.95000000000002,599.85,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
6,30,10,40,0.5909090909090908,0,98.48433333333332,85.99599999999998,68.37999999999994,100.0,82.47999999999999,99.16,2,0,2,2,0,239.94000000000003,839.7900000000001,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
7,30,10,40,0.5909090909090908,0,98.45333333333332,85.66599999999998,68.10999999999993,100.0,82.05999999999999,98.74,2,0,2,2,0,279.93,1119.72,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
8,29,10,39,0.6363636363636365,0,98.36689655172414,87.17199999999998,67.83999999999992,100.0,81.63999999999999,100.0,2,0,3,3,0,319.92,1439.64,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
9,31,10,41,0.5454545454545454,0,93.59483870967742,86.84199999999998,50.0,100.0,81.21999999999998,99.58,4,0,3,3,0,359.91,1799.5500000000002,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
10,31,10,41,0.5454545454545454,0,97.7941935483871,86.51199999999999,67.2999999999999,100.0,80.79999999999998,99.16,4,0,3,3,0,399.90000000000003,2199.4500000000003,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
11,32,10,42,0.5,0,95.78125,86.18199999999997,50.0,100.0,80.37999999999998,98.74,5,0,3,3,0,439.89000000000004,2639.34,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
12,31,10,41,0.5454545454545454,0,97.79322580645162,87.85599999999997,66.75999999999988,100.0,79.95999999999998,100.0,5,0,4,4,0,479.88000000000005,3119.2200000000003,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
13,31,10,41,0.5454545454545454,0,97.77193548387098,87.52599999999998,66.48999999999987,100.0,79.53999999999998,99.58,5,0,4,4,0,519.87,3639.09,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
14,31,10,41,0.5454545454545454,0,97.76709677419355,87.19599999999997,66.21999999999986,100.0,79.11999999999998,99.16,5,0,4,4,0,559.86,4198.95,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
15,31,10,41,0.5454545454545454,0,98.47935483870968,86.86599999999997,65.94999999999985,100.0,78.69999999999997,98.74,5,0,4,4,0,599.85,4798.8,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
16,30,11,41,0.7083333333333333,0,98.766,81.57999999999998,65.67999999999984,100.0,45.0,100.0,5,1,5,5,0,639.84,5438.64,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
17,30,11,41,0.7083333333333333,0,96.29299999999999,83.35636363636361,50.0,100.0,44.580000000000005,100.0,6,1,6,6,0,679.83,6118.47,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
18,29,11,40,0.75,0,99.61379310344829,83.57999999999997,89.88,100.0,44.16000000000001,100.0,6,1,7,7,0,719.82,6838.29,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
19,31,11,42,0.6666666666666667,0,95.10032258064517,83.26909090909088,50.0,100.0,43.740000000000016,99.58,8,1,7,7,0,759.8100000000001,7598.1,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
20,30,11,41,0.7083333333333333,0,97.51633333333334,84.85454545454542,49.730000000000004,100.0,43.32000000000002,100.0,8,1,8,8,0,799.8000000000001,8397.9,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
21,30,11,41,0.7083333333333333,0,97.48033333333335,84.54363636363634,49.46000000000001,100.0,42.90000000000003,99.58,8,1,8,8,0,839.7900000000001,9237.69,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
22,30,11,41,0.7083333333333333,0,99.25333333333334,84.23272727272725,89.33999999999997,100.0,42.48000000000003,99.16,8,1,8,8,0,879.7800000000001,10117.470000000001,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
23,30,11,41,0.7083333333333333,0,99.58166666666668,83.92181818181815,89.07,100.0,42.06000000000004,98.74,8,1,8,8,0,919.7700000000001,11037.240000000002,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
24,29,12,41,0.8461538461538463,0,99.57655172413794,79.55687499999998,88.79999999999998,100.0,41.64000000000004,99.88249999999994,8,2,9,9,0,959.7600000000001,11997.000000000002,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
25,29,12,41,0.8461538461538463,0,96.95310344827587,80.87020833333328,50.0,100.0,41.22000000000005,100.0,9,2,10,10,0,999.7500000000001,12996.750000000002,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
26,30,12,42,0.8076923076923077,0,96.70833333333333,80.55020833333329,50.0,100.0,40.800000000000054,99.58,10,2,10,10,0,1039.74,14036.490000000002,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
27,31,12,43,0.7692307692307692,0,96.81451612903226,80.2302083333333,50.0,100.0,40.38000000000006,99.16,11,2,10,10,0,1079.73,15116.220000000001,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
28,30,12,42,0.8076923076923077,0,99.102,81.80770833333328,86.95999999999998,100.0,39.960000000000065,98.74,11,2,11,11,0,1119.72,16235.94,PREY,100.0,0,1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,cycle3_seed3,45,2000
