run_name,prey_model_path,predator_model_path,seed,steps_ran,csv_path,mean_prey_population,mean_predator_population,final_prey_population,final_predator_population,prey_population_cv,predator_population_cv,prey_oscillation_period,predator_oscillation_period,system_survival_fraction,system_extinction_step,coexistence_score_mean,coexistence_score_min,coexistence_score_final,prey_birth_rate,predator_birth_rate,predation_rate,prey_death_rate,predator_death_rate,mean_prey_lifespan,mean_predator_lifespan,cumulative_predation_events,cumulative_prey_births,cumulative_predator_births,cumulative_prey_deaths,cumulative_predator_deaths
seed0,src\models\trained_prey_43_protocol2_cycle2.pkl,src\models\trained_predator_43_protocol2_cycle2.pkl,42,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run43_cycle2\seed0__trained_prey_43_protocol2_cycle2__trained_predator_43_protocol2_cycle2_2000steps.csv,78.2335,58.4675,1,0,1.6209,0.5643,4.2,0.0,0.66,1321,0.1899,0.0,0.0,2.5085,0.0805,2.523,2.523,0.0855,31.0,1036.1,5046,5017,161,5046,171
seed1,src\models\trained_prey_43_protocol2_cycle2.pkl,src\models\trained_predator_43_protocol2_cycle2.pkl,43,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run43_cycle2\seed1__trained_prey_43_protocol2_cycle2__trained_predator_43_protocol2_cycle2_2000steps.csv,307.6245,82.1575,337,0,0.2143,0.6773,6.4,44.9,0.856,1713,0.4737,0.0,0.0,3.1705,0.15,3.017,3.017,0.155,102.0,619.2,6034,6341,300,6034,310
seed2,src\models\trained_prey_43_protocol2_cycle2.pkl,src\models\trained_predator_43_protocol2_cycle2.pkl,44,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run43_cycle2\seed2__trained_prey_43_protocol2_cycle2__trained_predator_43_protocol2_cycle2_2000steps.csv,328.271,4.186,337,0,0.1439,0.6165,25.1,0.0,0.6905,1382,0.0055,0.0,0.0,0.225,0.0,0.0715,0.0715,0.005,4591.2,1212.5,143,450,0,143,10
