cycle,run_name,prey_model_path,predator_model_path,seed,steps_ran,csv_path,mean_prey_population,mean_predator_population,final_prey_population,final_predator_population,prey_population_cv,predator_population_cv,prey_oscillation_period,predator_oscillation_period,system_survival_fraction,system_extinction_step,coexistence_score_mean,coexistence_score_min,coexistence_score_final,prey_birth_rate,predator_birth_rate,predation_rate,prey_death_rate,predator_death_rate,mean_prey_lifespan,mean_predator_lifespan,cumulative_predation_events,cumulative_prey_births,cumulative_predator_births,cumulative_prey_deaths,cumulative_predator_deaths
1,cycle1_seed0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_47_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_47_protocol2_cycle1.pkl,42,1282,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run47\cycle1_seed0__trained_prey_47_protocol2_cycle1__trained_predator_47_protocol2_cycle1_1282steps.csv,145.17940717628704,86.64742589703589,0,0,0.385,0.6463,5.1,52.0,0.5382,691,0.3038,0.0,0.0,3.197348,0.155226,3.220749,3.220749,0.163027,83.8,531.9,4129,4099,199,4129,209
1,cycle1_seed1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_47_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_47_protocol2_cycle1.pkl,43,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run47\cycle1_seed1__trained_prey_47_protocol2_cycle1__trained_predator_47_protocol2_cycle1_2000steps.csv,279.364,137.3215,48,154,0.2943,0.3372,5.5,107.5,1.0,0,0.8181,0.0,0.1581,7.058,0.2305,7.049,7.049,0.1585,39.6,866.4,14098,14116,461,14098,317
1,cycle1_seed2,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_47_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_47_protocol2_cycle1.pkl,44,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run47\cycle1_seed2__trained_prey_47_protocol2_cycle1__trained_predator_47_protocol2_cycle1_2000steps.csv,326.6335,4.819,337,0,0.158,0.7468,33.8,0.0,0.713,1427,0.0089,0.0,0.0,0.272,0.0025,0.1185,0.1185,0.0075,2756.4,901.2,237,544,5,237,15
2,cycle2_seed0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_47_protocol2_cycle2.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_47_protocol2_cycle2.pkl,42,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run47\cycle2_seed0__trained_prey_47_protocol2_cycle2__trained_predator_47_protocol2_cycle2_2000steps.csv,328.465,3.8465,337,0,0.1437,0.2985,0.0,0.0,0.42,841,0.0092,0.0,0.0,0.161,0.0005,0.0075,0.0075,0.0055,43795.3,1665.2,15,322,1,15,11
2,cycle2_seed1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_47_protocol2_cycle2.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_47_protocol2_cycle2.pkl,43,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run47\cycle2_seed1__trained_prey_47_protocol2_cycle2__trained_predator_47_protocol2_cycle2_2000steps.csv,326.0745,5.8,337,0,0.1642,0.5593,13.4,0.0,0.677,1355,0.0155,0.0,0.0,0.2775,0.0035,0.124,0.124,0.0085,2629.6,1007.9,248,555,7,248,17
2,cycle2_seed2,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_47_protocol2_cycle2.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_47_protocol2_cycle2.pkl,44,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run47\cycle2_seed2__trained_prey_47_protocol2_cycle2__trained_predator_47_protocol2_cycle2_2000steps.csv,320.2865,65.9975,337,0,0.1705,0.9137,11.7,231.0,0.9755,1952,0.298,0.0,0.0,1.541,0.1035,1.3875,1.3875,0.1085,230.8,623.5,2775,3082,207,2775,217
3,cycle3_seed0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_47_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_47_protocol2_cycle3.pkl,42,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run47\cycle3_seed0__trained_prey_47_protocol2_cycle3__trained_predator_47_protocol2_cycle3_2000steps.csv,329.2515,4.3015,337,0,0.1336,0.8356,17.1,0.0,0.667,1335,0.0049,0.0,0.0,0.2795,0.003,0.126,0.126,0.008,2613.1,806.1,252,559,6,252,16
3,cycle3_seed1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_47_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_47_protocol2_cycle3.pkl,43,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run47\cycle3_seed1__trained_prey_47_protocol2_cycle3__trained_predator_47_protocol2_cycle3_2000steps.csv,10.7975,3.2775,10,0,0.2426,0.3705,0.0,0.0,0.3715,744,0.2284,0.0,0.0,0.0015,0.001,0.0115,0.0115,0.006,938.9,1470.4,23,3,2,23,12
3,cycle3_seed2,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_47_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_47_protocol2_cycle3.pkl,44,1112,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run47\cycle3_seed2__trained_prey_47_protocol2_cycle3__trained_predator_47_protocol2_cycle3_1112steps.csv,133.2706834532374,55.118705035971225,0,0,0.5128,0.8951,8.7,0.0,0.5369,598,0.0665,0.0,0.0,1.533273,0.124101,1.560252,1.560252,0.133094,159.1,414.5,1735,1705,138,1735,148
4,cycle4_seed0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_47_protocol2_cycle4.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_47_protocol2_cycle4.pkl,42,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run47\cycle4_seed0__trained_prey_47_protocol2_cycle4__trained_predator_47_protocol2_cycle4_2000steps.csv,181.8105,65.15,1,0,0.8154,0.7962,11.5,64.5,0.9585,1918,0.2693,0.0,0.0,2.368,0.1185,2.3825,2.3825,0.1235,76.3,550.4,4765,4736,237,4765,247
4,cycle4_seed1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_47_protocol2_cycle4.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_47_protocol2_cycle4.pkl,43,1457,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run47\cycle4_seed1__trained_prey_47_protocol2_cycle4__trained_predator_47_protocol2_cycle4_1457steps.csv,145.63486616334936,91.83459162663006,0,0,0.44,0.5487,7.7,158.7,0.6019,878,0.3423,0.0,0.0,3.075498,0.188058,3.096088,3.096088,0.194921,78.1,471.5,4511,4481,274,4511,284
4,cycle4_seed2,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_47_protocol2_cycle4.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_47_protocol2_cycle4.pkl,44,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run47\cycle4_seed2__trained_prey_47_protocol2_cycle4__trained_predator_47_protocol2_cycle4_2000steps.csv,119.612,48.7975,2,0,1.2381,0.7091,9.1,2.0,0.671,1343,0.1182,0.0,0.0,1.53,0.111,1.544,1.544,0.116,77.5,626.9,3088,3060,222,3088,232
5,cycle5_seed0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_47_protocol2_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_47_protocol2_cycle5.pkl,42,890,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run47\cycle5_seed0__trained_prey_47_protocol2_cycle5__trained_predator_47_protocol2_cycle5_890steps.csv,64.99213483146067,58.26741573033708,0,0,1.0884,0.6873,6.7,0.0,0.5124,457,0.068,0.0,0.0,1.432584,0.126966,1.466292,1.466292,0.138202,86.5,422.1,1305,1275,113,1305,123
5,cycle5_seed1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_47_protocol2_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_47_protocol2_cycle5.pkl,43,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run47\cycle5_seed1__trained_prey_47_protocol2_cycle5__trained_predator_47_protocol2_cycle5_2000steps.csv,315.824,41.9835,337,0,0.1932,0.9706,10.2,0.0,0.632,1265,0.2078,0.0,0.0,1.3785,0.089,1.225,1.225,0.094,257.8,706.7,2450,2757,178,2450,188
5,cycle5_seed2,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_47_protocol2_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_47_protocol2_cycle5.pkl,44,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run47\cycle5_seed2__trained_prey_47_protocol2_cycle5__trained_predator_47_protocol2_cycle5_2000steps.csv,327.6245,4.7915,337,0,0.1494,0.7179,37.7,0.0,0.609,1219,0.0065,0.0,0.0,0.286,0.004,0.1325,0.1325,0.009,2472.6,874.2,265,572,8,265,18
