cycle,run_name,prey_model_path,predator_model_path,seed,steps_ran,csv_path,mean_prey_population,mean_predator_population,final_prey_population,final_predator_population,prey_population_cv,predator_population_cv,prey_oscillation_period,predator_oscillation_period,system_survival_fraction,system_extinction_step,coexistence_score_mean,coexistence_score_min,coexistence_score_final,prey_birth_rate,predator_birth_rate,predation_rate,prey_death_rate,predator_death_rate,mean_prey_lifespan,mean_predator_lifespan,cumulative_predation_events,cumulative_prey_births,cumulative_predator_births,cumulative_prey_deaths,cumulative_predator_deaths
1,cycle1_seed0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_48_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_48_protocol2_cycle1.pkl,42,1072,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run48\cycle1_seed0__trained_prey_48_protocol2_cycle1__trained_predator_48_protocol2_cycle1_1072steps.csv,65.7481343283582,54.55783582089552,0,0,1.0781,0.6341,8.5,0.0,0.4767,512,0.0327,0.0,0.0,0.935634,0.085821,0.963619,0.963619,0.095149,143.1,573.9,1033,1003,92,1033,102
1,cycle1_seed1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_48_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_48_protocol2_cycle1.pkl,43,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run48\cycle1_seed1__trained_prey_48_protocol2_cycle1__trained_predator_48_protocol2_cycle1_2000steps.csv,326.243,8.943,337,0,0.162,0.6827,5.9,0.0,0.4865,974,0.0093,0.0,0.0,0.2715,0.013,0.118,0.118,0.018,2764.8,1021.2,236,543,26,236,36
1,cycle1_seed2,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_48_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_48_protocol2_cycle1.pkl,44,1136,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run48\cycle1_seed2__trained_prey_48_protocol2_cycle1__trained_predator_48_protocol2_cycle1_1136steps.csv,66.89612676056338,45.34771126760563,0,0,0.7108,0.6677,9.2,0.0,0.3292,375,0.0284,0.0,0.0,0.866197,0.065141,0.892606,0.892606,0.073944,227.6,613.8,1014,984,74,1014,84
2,cycle2_seed0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_48_protocol2_cycle2.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_48_protocol2_cycle2.pkl,42,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run48\cycle2_seed0__trained_prey_48_protocol2_cycle2__trained_predator_48_protocol2_cycle2_2000steps.csv,312.3995,143.175,315,157,0.1421,0.3297,5.5,96.6,1.0,0,0.857,0.0,1.0,6.8905,0.25,6.748,6.748,0.1765,46.3,811.2,13496,13781,500,13496,353
2,cycle2_seed1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_48_protocol2_cycle2.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_48_protocol2_cycle2.pkl,43,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run48\cycle2_seed1__trained_prey_48_protocol2_cycle2__trained_predator_48_protocol2_cycle2_2000steps.csv,304.222,145.784,281,143,0.1929,0.2953,4.7,60.9,1.0,0,0.9017,0.0,0.9792,7.1175,0.2555,6.992,6.992,0.189,43.5,771.3,13984,14235,511,13984,378
2,cycle2_seed2,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_48_protocol2_cycle2.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_48_protocol2_cycle2.pkl,44,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run48\cycle2_seed2__trained_prey_48_protocol2_cycle2__trained_predator_48_protocol2_cycle2_2000steps.csv,328.106,4.133,337,0,0.1463,0.4897,0.0,0.0,0.4435,888,0.0074,0.0,0.0,0.165,0.0025,0.0115,0.0115,0.0075,28531.0,1242.5,23,330,5,23,15
2,cycle2_seed3,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_48_protocol2_cycle2.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_48_protocol2_cycle2.pkl,45,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run48\cycle2_seed3__trained_prey_48_protocol2_cycle2__trained_predator_48_protocol2_cycle2_2000steps.csv,295.794,128.2385,326,164,0.2592,0.4537,6.0,54.8,1.0,0,0.7297,0.0,0.9909,6.1855,0.2745,6.0375,6.0375,0.1975,49.0,649.3,12075,12371,549,12075,395
2,cycle2_seed4,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_48_protocol2_cycle2.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_48_protocol2_cycle2.pkl,46,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run48\cycle2_seed4__trained_prey_48_protocol2_cycle2__trained_predator_48_protocol2_cycle2_2000steps.csv,293.619,149.2655,298,153,0.2228,0.2483,5.8,59.4,1.0,0,0.8738,0.0,0.9708,7.125,0.274,6.991,6.991,0.2025,42.0,737.1,13982,14250,548,13982,405
2,cycle2_seed5,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_48_protocol2_cycle2.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_48_protocol2_cycle2.pkl,47,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run48\cycle2_seed5__trained_prey_48_protocol2_cycle2__trained_predator_48_protocol2_cycle2_2000steps.csv,324.28,6.9915,337,1,0.178,1.1763,41.5,0.0,1.0,0,0.0108,0.0,0.0,0.279,0.007,0.1255,0.1255,0.0115,2583.9,608.0,251,558,14,251,23
2,cycle2_seed6,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_48_protocol2_cycle2.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_48_protocol2_cycle2.pkl,48,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run48\cycle2_seed6__trained_prey_48_protocol2_cycle2__trained_predator_48_protocol2_cycle2_2000steps.csv,329.393,6.4585,337,0,0.1333,0.4656,12.7,0.0,0.368,737,0.0051,0.0,0.0,0.191,0.008,0.0375,0.0375,0.013,8783.8,1350.0,75,382,16,75,26
