step,reward,cumulative_reward,main_agent_energy,main_agent_thirst,main_agent_can_reproduce,main_agent_water_nearby,prey_population,predator_population,total_alive,avg_prey_energy,avg_predator_energy,min_prey_energy,max_prey_energy,min_predator_energy,max_predator_energy,cumulative_prey_births,cumulative_predator_births,cumulative_predation_events,cumulative_prey_deaths,cumulative_predator_deaths,cumulative_prey_reward,cumulative_predator_reward
34,-0.01,79.64000000000003,97.74999999999999,83.0,0,1,7,2,9,88.42857142857136,73.30000000000004,85.1499999999999,97.74999999999999,72.85000000000002,73.75000000000006,0,0,0,0,0,357.5300000000003,18.92000000000001
35,-0.01,79.63000000000002,97.29999999999998,82.5,0,1,7,2,9,87.99999999999993,72.92500000000004,84.6999999999999,97.29999999999998,72.40000000000002,73.45000000000006,0,0,0,0,0,357.4600000000004,19.390000000000008
36,-0.01,79.62000000000002,96.84999999999998,82.0,0,1,7,2,9,87.57142857142853,72.62500000000004,84.2499999999999,96.84999999999998,72.10000000000002,73.15000000000006,0,0,0,0,0,357.3900000000003,20.35000000000001
37,-0.01,79.61000000000001,96.39999999999998,81.5,0,1,7,2,9,87.14285714285708,72.32500000000005,83.7999999999999,96.39999999999998,71.80000000000003,72.85000000000007,0,0,0,0,0,357.32000000000033,21.31000000000001
38,-0.01,79.60000000000001,95.94999999999997,81.0,0,1,7,2,9,86.71428571428565,72.02500000000005,83.3499999999999,95.94999999999997,71.50000000000003,72.55000000000007,0,0,0,0,0,357.2500000000003,22.27000000000001
39,-0.01,79.59,95.49999999999997,80.5,0,1,7,2,9,88.72857142857139,71.72500000000005,82.89999999999989,100.0,71.20000000000003,72.25000000000007,0,0,0,0,0,397.17000000000036,23.23000000000001
40,-0.01,79.58,95.04999999999997,80.0,0,1,7,2,9,88.29999999999994,71.42500000000005,82.44999999999989,99.55,70.90000000000003,71.95000000000007,0,0,0,0,0,397.10000000000036,24.190000000000012
41,-0.01,79.57,94.59999999999997,79.5,0,1,7,2,9,87.87142857142851,71.12500000000006,81.99999999999989,99.1,70.60000000000004,71.65000000000008,0,0,0,0,0,397.03000000000037,25.150000000000013
42,0.48,80.05,94.29999999999997,99.0,0,1,7,2,9,87.57142857142851,70.82500000000006,81.69999999999989,98.8,70.30000000000004,71.35000000000008,0,0,0,0,0,400.39000000000027,26.110000000000014
43,-0.01,80.03999999999999,93.84999999999997,98.5,0,1,7,2,9,87.14285714285708,70.52500000000006,81.24999999999989,98.35,70.00000000000004,71.05000000000008,0,0,0,0,0,400.3200000000003,27.070000000000014
44,-0.01,80.02999999999999,93.39999999999996,98.0,0,1,7,2,9,86.71428571428565,70.22500000000007,80.79999999999988,97.89999999999999,69.70000000000005,70.75000000000009,0,0,0,0,0,400.2500000000003,28.030000000000015
45,-0.01,80.01999999999998,92.94999999999996,97.5,0,1,7,2,9,86.28571428571422,69.92500000000007,80.34999999999988,97.44999999999999,69.40000000000005,70.45000000000009,0,0,0,0,0,400.1800000000003,28.990000000000016
46,-0.01,80.00999999999998,92.49999999999996,97.0,0,1,7,2,9,85.87857142857138,69.62500000000007,79.89999999999988,96.99999999999999,69.10000000000005,70.15000000000009,0,0,0,0,0,400.1100000000003,29.950000000000017
47,-0.01,79.99999999999997,92.04999999999995,96.5,0,1,7,2,9,88.4071428571428,69.32500000000007,79.89999999999988,100.0,68.80000000000005,69.8500000000001,0,0,0,0,0,440.0300000000003,30.910000000000018
48,-0.01,79.98999999999997,91.59999999999995,96.0,0,1,7,2,9,90.93571428571427,69.02500000000008,79.7499999999999,100.0,68.50000000000006,69.5500000000001,0,0,0,0,0,479.9500000000003,31.87000000000002
49,-0.01,79.97999999999996,91.14999999999995,95.5,0,1,7,2,9,93.4642857142857,68.72500000000008,83.50000000000006,100.0,68.20000000000006,69.2500000000001,0,0,0,0,0,519.8700000000003,32.83000000000002
50,-0.01,79.96999999999996,90.69999999999995,95.0,0,1,7,2,9,93.05714285714284,68.42500000000008,83.20000000000006,99.7,67.90000000000006,68.9500000000001,0,0,0,0,0,519.8000000000002,33.79000000000002
51,-0.01,79.95999999999995,90.24999999999994,94.5,0,1,7,2,9,92.64999999999998,68.12500000000009,82.75000000000006,99.4,67.60000000000007,68.6500000000001,0,0,0,0,0,520.2200000000001,34.75000000000002
52,-0.01,79.94999999999995,89.79999999999994,94.0,0,1,7,2,9,92.22142857142856,67.82500000000009,82.30000000000005,99.10000000000001,67.30000000000007,68.35000000000011,0,0,0,0,0,520.1500000000002,35.71000000000002
53,-0.01,79.93999999999994,89.34999999999994,93.5,0,1,7,2,9,91.81428571428569,67.52500000000009,82.00000000000006,98.80000000000001,67.00000000000007,68.05000000000011,0,0,0,0,0,520.08,36.67000000000002
54,-0.01,79.92999999999994,88.89999999999993,93.0,0,1,7,2,9,91.40714285714283,67.2250000000001,81.70000000000006,98.50000000000001,66.70000000000007,67.75000000000011,0,0,0,0,0,520.0100000000001,37.630000000000024
55,-0.01,79.91999999999993,88.44999999999993,92.5,0,1,7,2,9,90.99999999999999,66.9250000000001,81.40000000000006,98.20000000000002,66.40000000000008,67.45000000000012,0,0,0,0,0,519.94,38.590000000000025
56,-0.01,79.90999999999993,87.99999999999993,92.0,0,1,7,2,9,90.57142857142854,66.6250000000001,81.10000000000007,97.75000000000001,66.10000000000008,67.15000000000012,0,0,0,0,0,519.8700000000001,39.550000000000026
57,-0.01,79.89999999999992,87.54999999999993,91.5,0,1,7,2,9,90.1642857142857,66.3250000000001,80.80000000000007,97.45000000000002,65.80000000000008,66.85000000000012,0,0,0,0,0,519.8000000000001,40.510000000000026
58,-0.01,79.88999999999992,87.09999999999992,91.0,0,1,7,2,9,89.75714285714284,66.0250000000001,80.50000000000007,97.15000000000002,65.50000000000009,66.55000000000013,0,0,0,0,0,519.73,41.47000000000003
59,-0.01,79.87999999999991,86.64999999999992,90.5,0,1,7,2,9,89.34999999999995,65.72500000000011,80.20000000000007,96.85000000000002,65.20000000000009,66.25000000000013,0,0,0,0,0,519.66,41.940000000000026
60,-0.01,79.8699999999999,86.19999999999992,90.0,0,1,7,2,9,88.9428571428571,65.42500000000011,79.90000000000008,96.55000000000003,64.90000000000009,65.95000000000013,0,0,0,0,0,519.5899999999999,42.90000000000003
61,-0.01,79.8599999999999,85.74999999999991,89.5,0,1,7,2,9,91.44999999999995,65.12500000000011,79.89999999999988,100.0,64.6000000000001,65.65000000000013,0,0,0,0,0,559.5099999999999,43.86000000000003
62,-0.01,79.8499999999999,85.29999999999991,89.0,0,1,7,2,9,93.9785714285714,64.82500000000012,85.29999999999991,100.0,64.3000000000001,65.35000000000014,0,0,0,0,0,599.43,44.82000000000003
63,-0.01,79.83999999999989,84.84999999999991,88.5,0,1,7,2,9,93.57142857142856,64.52500000000012,84.84999999999991,99.55,64.0000000000001,65.05000000000014,0,0,0,0,0,599.3599999999999,45.78000000000003
64,-0.01,79.82999999999988,84.3999999999999,88.0,0,1,7,2,9,93.16428571428568,64.22500000000012,84.3999999999999,99.10000000000001,63.7000000000001,64.75000000000014,0,0,0,0,0,599.2899999999998,46.74000000000003
65,-0.01,79.81999999999988,83.9499999999999,87.5,0,1,7,2,9,92.75714285714282,63.925000000000125,83.9499999999999,98.80000000000001,63.400000000000105,64.45000000000014,0,0,0,0,0,599.2199999999999,47.70000000000003
66,-0.01,79.80999999999987,83.4999999999999,87.0,0,1,7,2,9,92.34999999999998,63.62500000000013,83.4999999999999,98.50000000000001,63.10000000000011,64.15000000000015,0,0,0,0,0,599.1499999999999,48.66000000000003
67,-0.01,79.79999999999987,83.0499999999999,86.5,0,1,7,2,9,91.94285714285711,63.32500000000013,83.0499999999999,98.20000000000002,62.80000000000011,63.85000000000015,0,0,0,0,0,599.0799999999997,49.62000000000003
68,-0.01,79.78999999999986,82.5999999999999,86.0,0,1,7,2,9,93.3785714285714,63.025000000000134,82.5999999999999,100.0,62.500000000000114,63.55000000000015,0,0,0,0,0,638.9999999999997,50.580000000000034
69,-0.01,79.77999999999986,82.14999999999989,85.5,0,1,7,2,9,92.97142857142855,62.725000000000136,82.14999999999989,99.55,62.20000000000012,63.250000000000156,0,0,0,0,0,638.9299999999996,51.540000000000035
70,-0.01,79.76999999999985,81.69999999999989,85.0,0,1,7,2,9,92.56428571428569,62.42500000000014,81.69999999999989,99.1,61.90000000000012,62.95000000000016,0,0,0,0,0,638.8599999999997,52.500000000000036
71,-0.01,79.75999999999985,81.24999999999989,84.5,0,1,7,2,9,92.15714285714284,62.12500000000014,81.24999999999989,98.64999999999999,61.60000000000012,62.65000000000016,0,0,0,0,0,638.7899999999996,53.460000000000036
72,-0.01,79.74999999999984,80.79999999999988,84.0,0,1,7,2,9,91.74999999999997,61.825000000000145,80.79999999999988,98.19999999999999,61.300000000000125,62.350000000000165,0,0,0,0,0,638.7199999999996,54.42000000000004
73,-0.01,79.73999999999984,80.34999999999988,83.5,0,1,8,2,10,77.38749999999997,61.52500000000015,40.0,97.74999999999999,61.00000000000013,62.05000000000017,1,0,0,0,0,653.6399999999995,55.38000000000004
74,-0.01,79.72999999999983,79.89999999999988,83.0,0,1,8,2,10,90.97499999999997,61.22500000000015,79.7,100.0,60.70000000000013,61.75000000000017,1,0,0,0,0,773.5299999999995,56.34000000000004
75,39.980000000000004,119.70999999999984,100.0,82.5,0,1,8,2,10,95.68749999999997,60.92500000000015,87.54999999999993,100.0,60.400000000000134,61.45000000000017,1,0,0,0,0,853.4299999999995,57.30000000000004
76,-0.01,119.69999999999983,99.55,82.0,0,1,8,2,10,95.27499999999998,60.625000000000156,87.09999999999992,99.55,60.100000000000136,61.150000000000176,1,0,0,0,0,853.3499999999993,58.26000000000004
77,-0.01,119.68999999999983,99.1,81.5,0,1,8,2,10,94.84374999999997,60.32500000000016,86.64999999999992,99.1,59.80000000000014,60.85000000000018,1,0,0,0,0,853.2699999999993,59.22000000000004
78,-0.01,119.67999999999982,98.64999999999999,81.0,0,1,9,2,11,81.71666666666664,60.02500000000016,40.0,98.64999999999999,59.50000000000014,60.55000000000018,2,0,0,0,0,868.1799999999994,60.18000000000004
79,-0.01,119.66999999999982,98.19999999999999,80.5,0,1,10,2,12,82.91,59.725000000000165,40.0,100.0,59.200000000000145,60.250000000000185,3,0,0,0,0,1043.0399999999993,61.14000000000004
80,-0.01,119.65999999999981,97.74999999999999,80.0,0,1,10,2,12,93.74499999999998,59.42500000000017,79.7,100.0,58.90000000000015,59.95000000000019,3,0,0,0,0,1162.9099999999994,62.100000000000044
81,-0.01,119.6499999999998,97.29999999999998,79.5,0,1,10,2,12,95.38499999999998,59.12500000000017,84.84999999999991,100.0,58.60000000000015,59.65000000000019,3,0,0,0,0,1202.7999999999995,63.060000000000045
82,0.48,120.12999999999981,96.99999999999999,99.0,0,1,10,2,12,95.03999999999999,58.82500000000017,84.3999999999999,99.55,58.30000000000015,59.35000000000019,3,0,0,0,0,1205.6399999999996,64.02000000000004
83,-0.01,120.1199999999998,96.54999999999998,98.5,0,1,11,2,13,84.22727272727272,58.525000000000176,40.0,99.1,58.000000000000156,59.050000000000196,4,0,0,0,0,1220.5299999999995,64.98000000000003
84,-0.01,120.1099999999998,96.09999999999998,98.0,0,1,13,2,15,75.8153846153846,58.22500000000018,40.0,100.0,57.70000000000016,58.7500000000002,6,0,0,0,0,1370.3699999999994,65.94000000000003
85,-0.01,120.0999999999998,95.64999999999998,97.5,0,1,13,2,15,92.63461538461539,57.92500000000018,79.7,100.0,57.40000000000016,58.4500000000002,6,0,0,0,0,1610.1799999999994,66.90000000000002
86,-0.01,120.08999999999979,95.19999999999997,97.0,0,1,13,2,15,95.4230769230769,57.55000000000018,82.5999999999999,100.0,56.950000000000166,58.150000000000205,6,0,0,0,0,1690.029999999999,67.37000000000002
87,-0.01,120.07999999999979,94.74999999999997,96.5,0,1,13,2,15,95.00769230769227,57.250000000000185,82.14999999999989,99.55,56.65000000000017,57.85000000000021,6,0,0,0,0,1689.8999999999992,68.33000000000001
88,-0.01,120.06999999999978,94.29999999999997,96.0,0,1,14,2,16,86.43928571428569,56.87500000000019,40.0,99.25,56.20000000000017,57.55000000000021,7,0,0,0,0,1704.7599999999995,68.80000000000001
89,-0.01,120.05999999999977,93.84999999999997,95.5,0,1,17,2,19,71.55294117647057,56.575000000000195,40.0,100.0,55.900000000000176,57.25000000000021,10,0,0,0,0,1829.5699999999995,69.76
90,-0.01,120.04999999999977,93.39999999999996,95.0,0,1,18,2,20,86.16944444444444,56.2750000000002,40.0,100.0,55.60000000000018,56.950000000000216,11,0,0,0,0,2244.2899999999995,70.72
91,-0.01,120.03999999999976,92.94999999999996,94.5,0,1,19,2,21,88.31052631578946,55.9750000000002,40.0,100.0,55.30000000000018,56.65000000000022,12,0,0,0,0,2459.0499999999993,71.67999999999999
92,-0.01,120.02999999999976,92.49999999999996,94.0,0,1,19,2,21,94.31315789473683,55.6750000000002,79.7,100.0,55.000000000000185,56.35000000000022,12,0,0,0,0,2618.8199999999993,72.63999999999999
93,-0.01,120.01999999999975,92.04999999999995,93.5,0,1,20,2,22,90.31749999999998,55.30000000000021,40.0,100.0,54.70000000000019,55.900000000000226,13,0,0,0,0,2713.5999999999995,73.10999999999999
94,-0.01,120.00999999999975,91.59999999999995,93.0,0,1,24,2,26,75.91041666666666,55.00000000000021,40.0,100.0,54.40000000000019,55.60000000000023,17,0,0,0,0,2893.819999999999,74.06999999999998
95,-0.01,119.99999999999974,91.14999999999995,92.5,0,1,26,2,28,85.27884615384616,54.700000000000216,40.0,100.0,54.10000000000019,55.30000000000023,19,0,0,0,0,3443.429999999999,75.02999999999997
96,-0.01,119.98999999999974,90.69999999999995,92.0,0,1,30,2,32,78.06666666666665,54.40000000000022,40.0,100.0,53.800000000000196,55.000000000000234,23,0,0,0,0,3783.0599999999995,75.98999999999997
97,-0.01,119.97999999999973,90.24999999999994,91.5,0,1,31,2,33,88.80322580645161,54.10000000000022,40.0,100.0,53.5000000000002,54.70000000000024,24,0,0,0,0,4277.629999999997,76.94999999999996
98,-0.01,119.96999999999973,89.79999999999994,91.0,0,1,33,2,35,88.9060606060606,53.800000000000225,40.0,100.0,53.2000000000002,54.40000000000024,26,0,0,0,0,4587.229999999999,77.90999999999995
99,-0.01,119.95999999999972,89.34999999999994,90.5,0,1,37,2,39,82.58108108108108,53.50000000000023,40.0,100.0,52.900000000000205,54.10000000000024,30,0,0,0,0,4886.799999999998,78.86999999999995
100,-0.01,119.94999999999972,88.89999999999993,90.0,0,1,41,2,43,80.81463414634146,53.20000000000023,39.7,100.0,52.60000000000021,53.800000000000246,34,0,0,0,0,5386.279999999998,79.82999999999994
101,-0.01,119.93999999999971,88.44999999999993,89.5,0,1,43,2,45,81.4767441860465,52.90000000000023,39.400000000000006,100.0,52.30000000000021,53.50000000000025,36,0,0,0,0,5695.779999999999,80.78999999999994
102,-0.01,119.92999999999971,87.99999999999993,89.0,0,1,47,2,49,77.94999999999999,52.600000000000236,39.10000000000001,100.0,52.00000000000021,53.20000000000025,40,0,0,0,0,6075.229999999998,81.74999999999993
103,-0.01,119.9199999999997,87.54999999999993,88.5,0,1,52,2,54,80.23942307692307,52.30000000000024,39.10000000000001,100.0,51.700000000000216,52.900000000000254,45,0,0,0,0,6869.529999999998,82.70999999999992
104,-0.01,119.9099999999997,87.09999999999992,88.0,0,1,58,2,60,76.5491379310345,51.92500000000024,38.80000000000001,100.0,51.25000000000022,52.60000000000026,51,0,0,0,0,7398.839999999999,83.17999999999992
105,-0.01,119.8999999999997,86.64999999999992,87.5,0,1,65,2,67,75.70307692307694,51.62500000000024,39.400000000000006,100.0,50.95000000000022,52.30000000000026,58,0,0,0,0,8223.009999999998,84.13999999999992
106,-0.01,119.88999999999969,86.19999999999992,87.0,0,1,68,2,70,77.84044117647059,51.325000000000244,39.10000000000001,100.0,50.650000000000226,52.00000000000026,61,0,0,0,0,8747.209999999995,85.09999999999991
107,-0.01,119.87999999999968,85.74999999999991,86.5,0,1,73,2,75,74.31712328767122,51.02500000000025,38.80000000000001,100.0,50.35000000000023,51.700000000000266,66,0,0,0,0,9141.400000000001,86.0599999999999
108,-0.01,119.86999999999968,85.29999999999991,86.0,0,1,77,2,79,77.53051948051947,50.72500000000025,38.500000000000014,100.0,50.05000000000023,51.40000000000027,70,0,0,0,0,9960.439999999999,87.0199999999999
109,0.48,120.34999999999968,84.99999999999991,100.0,0,1,85,2,87,70.68058823529412,50.42500000000025,38.20000000000002,100.0,49.750000000000234,51.10000000000027,78,0,0,0,0,10360.009999999998,87.97999999999989
110,-0.01,120.33999999999968,84.54999999999991,99.5,0,1,88,2,90,72.54602272727274,50.125000000000256,37.90000000000002,100.0,49.45000000000024,50.800000000000274,81,0,0,0,0,10963.99,88.93999999999988
111,-0.01,120.32999999999967,84.09999999999991,99.0,0,1,96,2,98,71.02395833333334,49.82500000000026,38.20000000000002,100.0,49.15000000000024,50.50000000000028,89,0,0,0,0,11802.849999999997,89.89999999999988
112,-0.01,120.31999999999967,83.6499999999999,98.5,0,1,103,2,105,69.87961165048544,49.52500000000026,37.90000000000002,100.0,48.85000000000024,50.20000000000028,96,0,0,0,0,12546.659999999994,90.85999999999987
113,-0.01,120.30999999999966,83.1999999999999,98.0,0,1,108,2,110,71.3976851851852,49.225000000000264,37.60000000000002,100.0,48.550000000000246,49.90000000000028,101,0,0,0,0,13340.4,91.81999999999987
114,-0.01,120.29999999999966,82.7499999999999,97.5,0,1,115,2,117,69.99782608695654,48.92500000000027,37.300000000000026,100.0,48.25000000000025,49.600000000000286,108,0,0,0,0,14004.11,92.77999999999986
115,-0.01,120.28999999999965,82.2999999999999,97.0,0,1,122,2,124,67.21721311475412,48.62500000000027,37.00000000000003,100.0,47.95000000000025,49.30000000000029,115,0,0,0,0,14507.789999999999,93.73999999999985
116,-0.01,120.27999999999965,81.8499999999999,96.5,0,1,130,2,132,67.1,48.32500000000027,36.55000000000003,100.0,47.650000000000254,49.00000000000029,123,0,0,0,0,15466.770000000006,94.69999999999985
117,-0.01,120.26999999999964,81.39999999999989,96.0,0,1,139,2,141,65.2338129496403,48.025000000000276,36.250000000000036,100.0,47.35000000000026,48.700000000000294,132,0,0,0,0,16201.209999999997,95.65999999999984
118,-0.01,120.25999999999964,80.94999999999989,95.5,0,1,140,2,142,68.95678571428572,47.72500000000028,35.95000000000004,100.0,47.05000000000026,48.4000000000003,133,0,0,0,0,16975.110000000004,96.61999999999983
119,-0.01,120.24999999999963,80.49999999999989,95.0,0,1,151,2,153,65.78311258278147,47.42500000000028,35.65000000000004,100.0,46.75000000000026,48.1000000000003,144,0,0,0,0,17818.92,97.57999999999983
120,-0.01,120.23999999999963,80.04999999999988,94.5,0,1,156,2,158,67.57756410256411,47.05000000000028,35.350000000000044,100.0,46.30000000000027,47.8000000000003,149,0,0,0,0,18772.630000000016,98.04999999999983
121,-0.01,120.22999999999962,79.59999999999988,94.0,0,1,170,2,172,65.07764705882354,46.750000000000284,31.600000000000023,100.0,46.00000000000027,47.500000000000306,163,0,0,0,0,19980.679999999993,99.00999999999982
122,39.980000000000004,160.20999999999964,100.0,93.5,0,1,186,2,188,62.22607526881722,46.45000000000029,31.300000000000022,100.0,45.70000000000027,47.20000000000031,179,0,0,0,0,21262.48000000003,99.96999999999981
123,-0.01,160.19999999999965,99.55,93.0,0,1,188,2,190,63.48324468085107,46.15000000000029,31.00000000000002,100.0,45.400000000000276,46.90000000000031,181,0,0,0,0,21850.46000000001,100.92999999999981
124,-0.01,160.18999999999966,99.1,92.5,0,1,197,2,199,63.40888324873098,45.85000000000029,30.70000000000002,100.0,45.10000000000028,46.600000000000314,190,0,0,0,0,22943.250000000007,101.8899999999998
125,-0.01,160.17999999999967,98.64999999999999,92.0,0,1,205,2,207,62.66414634146343,45.550000000000296,30.40000000000002,100.0,44.80000000000028,46.30000000000032,198,0,0,0,0,23741.520000000026,102.8499999999998
126,-0.01,160.16999999999967,98.19999999999999,91.5,0,1,217,2,219,60.68133640552996,45.2500000000003,30.10000000000002,100.0,44.500000000000284,46.00000000000032,210,0,0,0,0,24719.150000000027,103.80999999999979
127,-0.01,160.15999999999968,97.74999999999999,91.0,0,1,226,2,228,60.971017699115066,44.875000000000306,29.80000000000002,100.0,44.05000000000029,45.70000000000032,219,0,0,0,0,25893.099999999995,104.27999999999979
128,-0.01,160.1499999999997,97.29999999999998,90.5,0,1,226,2,228,64.04756637168143,44.57500000000031,29.500000000000018,100.0,43.75000000000029,45.400000000000325,219,0,0,0,0,26811.10000000002,105.23999999999978
