cycle,phase,agent_type,episode,reward,steps,eval_reward,prey_population,predator_population,avg_prey_energy,avg_predator_energy
1,A,PREY,1,808.0000000000018,250,9740.499999999958,1,0,92.49999999999999,0.0
1,A,PREY,2,1005.0000000000017,250,9740.499999999958,1,0,96.39999999999998,0.0
1,A,PREY,3,1128.5000000000018,250,9740.499999999958,1,0,96.99999999999999,0.0
1,A,PREY,4,1171.000000000002,250,9740.499999999958,1,0,100.0,0.0
1,A,PREY,5,729.5000000000016,250,9740.499999999958,1,0,100.0,0.0
1,A,PREY,6,1207.5000000000018,250,9740.499999999958,1,0,96.54999999999998,0.0
1,A,PREY,7,1412.000000000002,250,9740.499999999958,1,0,92.34999999999995,0.0
1,A,PREY,8,1009.0000000000019,250,9740.499999999958,1,0,99.55,0.0
1,A,PREY,9,1126.5000000000018,250,9740.499999999958,1,0,98.19999999999999,0.0
1,A,PREY,10,1569.500000000002,250,9740.499999999958,1,0,98.95,0.0
1,B,PREDATOR,1,-3.5799999999999708,208,122.49999999999947,6,0,100.0,0.0
1,B,PREDATOR,2,-1.1099999999999728,211,122.49999999999947,6,0,100.0,0.0
1,B,PREDATOR,3,-3.0799999999999663,208,122.49999999999947,6,0,100.0,0.0
1,B,PREDATOR,4,-2.579999999999969,208,122.49999999999947,6,2,100.0,0.925000000000241
1,B,PREDATOR,5,-1.5899999999999643,209,122.49999999999947,6,0,100.0,0.0
1,B,PREDATOR,6,-2.579999999999977,208,122.49999999999947,6,1,100.0,1.0000000000002747
1,B,PREDATOR,7,35.01666666666688,250,122.49999999999947,5,1,100.0,7.850000000000469
1,B,PREDATOR,8,-4.549999999999973,205,122.49999999999947,6,2,99.72500000000001,2.875000000000248
1,B,PREDATOR,9,1.3800000000000399,212,122.49999999999947,6,0,100.0,0.0
1,B,PREDATOR,10,3.4000000000000323,210,122.49999999999947,6,2,100.0,1.6750000000002605
2,A,PREY,1,926.0000000000017,250,9760.499999999958,226,2,95.60575221238938,10.000000000000448
2,A,PREY,2,893.0000000000018,250,9760.499999999958,23,2,72.28478260869568,18.70000000000054
2,A,PREY,3,934.0000000000018,250,9760.499999999958,7,2,96.89285714285712,10.000000000000448
2,A,PREY,4,1211.5000000000018,250,9760.499999999958,8,2,84.92499999999998,10.000000000000448
2,A,PREY,5,1289.5000000000016,250,9760.499999999958,7,2,94.47142857142856,10.000000000000448
2,A,PREY,6,1010.0000000000017,250,9760.499999999958,7,2,94.55714285714284,10.000000000000448
2,A,PREY,7,969.5000000000017,250,9760.499999999958,226,2,95.09756637168141,10.000000000000448
2,A,PREY,8,1088.000000000002,250,9760.499999999958,226,2,67.18119469026551,10.000000000000448
2,A,PREY,9,1209.0000000000018,250,9760.499999999958,152,2,59.23223684210528,10.000000000000448
2,A,PREY,10,1005.5000000000019,250,9760.499999999958,33,2,68.83484848484851,10.000000000000448
2,B,PREDATOR,1,-4.629999999999968,213,105.99999999999947,6,0,100.0,0.0
2,B,PREDATOR,2,4.820000000000041,218,105.99999999999947,6,0,100.0,0.0
2,B,PREDATOR,3,2.870000000000042,213,105.99999999999947,6,0,100.0,0.0
2,B,PREDATOR,4,-0.6399999999999668,214,105.99999999999947,6,0,100.0,0.0
2,B,PREDATOR,5,1.920000000000039,208,105.99999999999947,6,1,100.0,0.5500000000002198
2,B,PREDATOR,6,-1.5999999999999606,210,105.99999999999947,6,0,100.0,0.0
2,B,PREDATOR,7,44.32916666666691,250,105.99999999999947,5,1,100.0,3.5500000000002507
2,B,PREDATOR,8,-2.0999999999999694,210,105.99999999999947,6,0,100.0,0.0
2,B,PREDATOR,9,-0.6199999999999726,212,105.99999999999947,6,0,100.0,0.0
2,B,PREDATOR,10,2.930000000000037,207,105.99999999999947,6,1,100.0,0.850000000000264
