state,action,value
25,8,29.834774816228517
36,8,29.832313684304594
78,8,29.831139737588018
48,8,29.602422734603312
106,8,28.229578853099664
55,3,27.61265329155233
45,3,27.26977412437676
54,4,27.13692945947988
51,8,27.015856369935015
26,1,26.436456251728075
129,7,25.890424952954632
122,3,24.78262409953836
28,1,24.756598557710774
81,3,24.562479764545856
34,6,24.5503283340646
72,1,24.33179389209746
110,4,24.142187467557555
71,6,24.07271185924896
24,5,23.8074823445423
52,0,23.395179470066555
31,3,22.14387524575445
8,7,21.36160153008955
41,1,21.0573078660213
100,7,20.74743640848981
84,5,20.632541203887815
91,3,19.62918524238748
63,6,19.47715351152485
83,4,19.43026577970028
22,5,18.707290996406236
105,4,18.458802090752403
47,2,18.20279563883948
117,4,18.066342058559314
40,7,18.03913720688633
42,3,17.232522548517796
30,0,16.972509140936996
123,5,16.529550311808425
118,4,16.16305609451566
49,8,16.08517617888074
99,1,16.025880815083372
44,1,15.640863702460344
121,1,15.23025689030635
126,7,14.915067344523763
11,4,14.805133199469035
32,6,14.796284569404113
27,5,14.370752530799226
92,6,14.101277682572453
62,0,13.487439850606084
116,5,13.432101767258095
53,0,13.33501183118487
46,2,13.213872307338745
