cycle,phase,agent_type,episode,reward,steps,eval_reward,prey_population,predator_population,avg_prey_energy,avg_predator_energy,predation_events,eval_predation_events
1,A,PREY,1,348.15238636363705,137,112.31104880289692,337,11,87.2955489614243,65.25295454545432,12,296.6
1,A,PREY,2,26.466363636363653,13,112.31104880289692,30,10,97.66199999999989,81.94599999999998,1,296.6
1,A,PREY,3,1266.40322291266,380,112.31104880289692,337,168,71.23721068249259,47.06394345238106,662,296.6
1,A,PREY,4,1904.7710302978521,461,112.31104880289692,337,90,83.15534124629082,48.79736111111112,366,296.6
1,A,PREY,5,2025.267840909094,349,112.31104880289692,337,11,94.14439169139459,52.07613636363631,29,296.6
1,A,PREY,6,260.84147727272773,69,112.31104880289692,324,12,81.40095679012342,77.65666666666655,15,296.6
1,A,PREY,7,377.54500000000036,76,112.31104880289692,134,11,80.51604477611933,78.87636363636352,13,296.6
1,A,PREY,8,1505.8287500000029,344,112.31104880289692,337,76,72.62056379821959,60.09210526315783,292,296.6
1,A,PREY,9,359.4503409090913,84,112.31104880289692,337,11,83.37047477744805,73.6418181818181,10,296.6
1,A,PREY,10,296.58954545454577,64,112.31104880289692,120,11,84.26816666666657,77.830909090909,10,296.6
1,A,PREY,11,139.1263636363638,63,112.31104880289692,161,11,85.0825465838509,80.66886363636355,12,296.6
1,A,PREY,12,2382.390121738233,422,112.31104880289692,337,169,69.75679525222554,47.9252366863906,704,296.6
1,A,PREY,13,67.9668181818182,15,112.31104880289692,26,11,96.73115384615372,79.3181818181818,5,296.6
1,A,PREY,14,146.42227272727277,14,112.31104880289692,30,10,96.50333333333323,86.16399999999997,3,296.6
1,A,PREY,15,29.48403409090909,11,112.31104880289692,29,11,97.77275862068956,75.67681818181816,2,296.6
1,A,PREY,16,66.4499431818182,14,112.31104880289692,28,11,96.35428571428558,79.39454545454545,5,296.6
1,A,PREY,17,2343.9864816433515,348,112.31104880289692,337,9,96.61902077151332,45.95999999999971,17,296.6
1,A,PREY,18,2744.3093181818012,477,112.31104880289692,337,5,98.96498516320472,34.11599999999954,11,296.6
1,A,PREY,19,215.87636363636372,65,112.31104880289692,51,10,89.52431372549006,86.90199999999986,10,296.6
1,A,PREY,20,27.490795454545456,17,112.31104880289692,26,11,96.22576923076909,78.3425,5,296.6
1,A,PREY,21,260.61755681818227,65,112.31104880289692,21,11,89.19523809523768,77.9831818181817,11,296.6
1,A,PREY,22,2186.535132001896,309,112.31104880289692,337,94,79.56566765578634,48.86643617021286,552,296.6
1,A,PREY,23,107.43681818181821,13,112.31104880289692,30,10,97.24466666666655,86.30799999999998,3,296.6
1,A,PREY,24,3876.7670610381183,500,112.31104880289692,338,169,79.21124260355035,39.928106508875786,902,296.6
1,A,PREY,25,1068.5590343406602,123,112.31104880289692,337,15,86.51807121661719,49.34133333333333,19,296.6
1,A,PREY,26,148.3568181818182,17,112.31104880289692,39,10,91.7597435897435,89.93799999999997,5,296.6
1,A,PREY,27,382.3971722027974,51,112.31104880289692,43,12,89.32116279069753,65.49499999999993,7,296.6
1,A,PREY,28,109.47068181818183,14,112.31104880289692,25,11,96.6479999999999,86.26727272727273,8,296.6
1,A,PREY,29,4957.964183669979,500,112.31104880289692,338,169,59.39807692307702,49.75013313609458,1314,296.6
1,A,PREY,30,2627.237406280416,303,112.31104880289692,257,128,66.02443579766536,60.141386718750056,790,296.6
1,A,PREY,31,458.6244798951052,65,112.31104880289692,140,13,78.09778571428565,58.36923076923082,11,296.6
1,A,PREY,32,265.1925000000002,38,112.31104880289692,67,12,94.36104477611934,76.60687499999996,12,296.6
1,A,PREY,33,3020.636363636337,433,112.31104880289692,337,73,70.91299703264096,55.261130136986296,470,296.6
1,A,PREY,34,108.44590909090911,14,112.31104880289692,25,10,96.74919999999987,92.13399999999999,6,296.6
1,A,PREY,35,1068.4325000000008,96,112.31104880289692,337,12,95.32240356083081,69.28041666666651,14,296.6
1,A,PREY,36,1142.9264204545464,112,112.31104880289692,337,12,77.5645400593472,74.23499999999986,20,296.6
1,A,PREY,37,2181.953116258739,227,112.31104880289692,337,51,80.83982195845694,62.85495098039208,182,296.6
1,A,PREY,38,499.52591720779253,69,112.31104880289692,180,13,80.92233333333328,60.756923076923144,13,296.6
1,A,PREY,39,146.44312500000004,14,112.31104880289692,24,11,96.78249999999987,83.11454545454545,7,296.6
1,A,PREY,40,2586.2545855895214,241,112.31104880289692,337,115,82.05020771513357,38.39154347826099,440,296.6
1,A,PREY,41,3994.2270454545132,500,112.31104880289692,338,7,91.32961538461511,36.34857142857069,14,296.6
1,A,PREY,42,2804.2723355614753,369,112.31104880289692,337,84,85.34,49.62663690476199,381,296.6
1,A,PREY,43,528.6488068181822,113,112.31104880289692,255,11,74.13321568627448,74.91090909090892,16,296.6
1,A,PREY,44,334.40982954545495,64,112.31104880289692,291,12,87.14597938144327,65.68833333333335,9,296.6
1,A,PREY,45,427.8407386363637,47,112.31104880289692,42,11,91.41595238095226,87.35568181818176,14,296.6
1,A,PREY,46,459.5689029720277,67,112.31104880289692,26,13,92.6088461538459,64.6707692307692,14,296.6
1,A,PREY,47,4423.723859395139,402,112.31104880289692,332,89,65.03024096385542,56.073370786516904,411,296.6
1,A,PREY,48,3665.283310452428,406,112.31104880289692,337,169,78.05047477744807,57.27087278106511,723,296.6
1,A,PREY,49,5330.073522727208,484,112.31104880289692,337,44,97.40442136498513,44.11892045454544,192,296.6
1,A,PREY,50,340.4609659090913,63,112.31104880289692,194,16,80.04118556701025,74.95921874999993,36,296.6
1,A,PREY,51,1587.8345454545467,162,112.31104880289692,337,11,98.17887240356079,62.71318181818148,11,296.6
1,A,PREY,52,3221.278430944031,335,112.31104880289692,337,12,96.70916913946577,51.538333333333185,30,296.6
1,A,PREY,53,504.40113636363685,64,112.31104880289692,220,10,77.14345454545452,91.80799999999984,11,296.6
1,A,PREY,54,6114.437154720212,500,112.31104880289692,338,6,98.62576923076921,44.906666666666204,27,296.6
1,A,PREY,55,5700.815433159477,410,112.31104880289692,222,142,56.56454954954959,74.17230633802812,764,296.6
1,A,PREY,56,268.4008522727274,20,112.31104880289692,28,11,95.98678571428562,83.14181818181818,8,296.6
1,A,PREY,57,5074.029999999941,500,112.31104880289692,338,16,98.46414201183431,57.80406249999976,52,296.6
1,A,PREY,58,4980.57324361416,361,112.31104880289692,337,103,90.00709198813057,49.00347087378647,407,296.6
1,A,PREY,59,7033.7288636362855,500,112.31104880289692,338,14,98.92757396449703,59.585357142856864,53,296.6
1,A,PREY,60,105.43738636363639,13,112.31104880289692,32,11,97.31093749999991,71.88545454545452,1,296.6
1,A,PREY,61,787.8296590909096,119,112.31104880289692,337,12,89.52302670623139,65.5510416666665,17,296.6
1,A,PREY,62,5833.917272727199,500,112.31104880289692,338,37,98.25511834319525,60.956013513513426,155,296.6
1,A,PREY,63,2627.6874344405564,181,112.31104880289692,337,60,91.58632047477742,63.2692916666666,218,296.6
1,A,PREY,64,108.94840909090911,16,112.31104880289692,25,10,96.50079999999986,91.41999999999999,6,296.6
1,A,PREY,65,3546.209558656806,299,112.31104880289692,337,141,61.61237388724041,53.28191489361708,578,296.6
1,A,PREY,66,6466.804295454507,408,112.31104880289692,337,9,82.91056379821958,48.55055555555511,22,296.6
1,A,PREY,67,1583.7023863636373,116,112.31104880289692,337,15,95.5522848664688,75.08249999999983,32,296.6
1,A,PREY,68,578.8697727272729,63,112.31104880289692,36,10,88.44472222222203,92.1619999999999,13,296.6
1,A,PREY,69,105.96068181818184,13,112.31104880289692,31,11,97.3935483870967,79.37181818181817,4,296.6
1,A,PREY,70,67.00798951048952,14,112.31104880289692,26,12,96.86269230769219,70.83666666666669,5,296.6
1,A,PREY,71,23.962500000000027,14,112.31104880289692,29,10,96.88586206896541,85.53399999999999,3,296.6
1,A,PREY,72,7237.937459991027,500,112.31104880289692,338,169,77.15662721893474,71.37781065088728,1367,296.6
1,A,PREY,73,146.42000000000004,16,112.31104880289692,27,10,96.16185185185171,91.35999999999999,6,296.6
1,A,PREY,74,4066.396494673812,266,112.31104880289692,337,112,80.60382789317508,34.95993303571439,445,296.6
1,A,PREY,75,4701.537272727237,443,112.31104880289692,337,32,97.98086053412462,63.22906249999992,125,296.6
1,A,PREY,76,6594.098636363568,500,112.31104880289692,338,7,97.95411242603552,47.73999999999931,17,296.6
1,A,PREY,77,6353.907045454475,500,112.31104880289692,338,6,99.24369822485205,40.71208333333275,10,296.6
1,A,PREY,78,7313.446818181731,500,112.31104880289692,338,6,88.92485207100559,60.51666666666595,23,296.6
1,A,PREY,79,1221.9063636363644,95,112.31104880289692,337,11,76.15373887240354,72.93045454545431,10,296.6
1,A,PREY,80,7514.165909090824,500,112.31104880289692,338,7,99.23991124260354,37.05999999999948,14,296.6
1,A,PREY,81,1496.802486888112,176,112.31104880289692,337,12,80.16563798219585,49.93666666666647,13,296.6
1,A,PREY,82,7067.865171050046,500,112.31104880289692,338,169,88.76402366863907,59.3633579881655,1169,296.6
1,A,PREY,83,144.43454545454549,14,112.31104880289692,27,10,97.0322222222221,87.472,4,296.6
1,A,PREY,84,8153.94477272718,500,112.31104880289692,338,22,96.48251479289937,54.20193181818171,80,296.6
1,A,PREY,85,428.351590909091,29,112.31104880289692,30,10,94.43333333333315,90.23449999999994,7,296.6
1,A,PREY,86,865.6900000000005,63,112.31104880289692,44,10,94.49568181818167,87.10999999999984,9,296.6
