episode,reward,steps,eval_reward,outcome,prey_population,predator_population,avg_prey_energy,avg_predator_energy
80,-2.1899999999999973,350,0.0,PREY_WIN,2,0,85.0,0.0
81,-2.389999999999993,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
82,-2.2199999999999966,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
83,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
84,23.676666666666637,171,0.0,PREDATOR_WIN,1,1,70.0,42.95000000000023
85,-2.2199999999999966,350,0.0,PREY_WIN,2,0,85.0,0.0
86,-2.3299999999999943,350,0.0,PREY_WIN,2,0,85.0,0.0
87,-2.109999999999999,350,0.0,PREY_WIN,2,0,84.865,0.0
88,-2.2799999999999954,350,0.0,PREY_WIN,2,0,83.64999999999995,0.0
89,-2.159999999999998,350,0.0,PREY_WIN,2,0,84.94,0.0
90,-2.2799999999999954,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
91,-2.2699999999999956,350,0.0,PREY_WIN,2,0,84.865,0.0
92,-2.239999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
93,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
94,-2.389999999999993,350,0.0,PREY_WIN,2,0,84.45999999999998,0.0
95,-2.199999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
96,-2.289999999999995,350,0.0,PREY_WIN,2,0,85.0,0.0
97,-2.259999999999996,350,0.0,PREY_WIN,2,0,84.865,0.0
98,-2.1899999999999973,350,0.0,PREY_WIN,2,0,84.865,0.0
99,-2.259999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
100,-2.2699999999999956,350,0.0,PREY_WIN,2,0,85.0,0.0
101,-2.2199999999999966,350,0.0,PREY_WIN,2,0,85.0,0.0
102,-2.1799999999999975,350,0.0,PREY_WIN,2,0,85.0,0.0
103,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
104,-2.259999999999996,350,0.0,PREY_WIN,2,0,84.865,0.0
105,-2.1699999999999977,350,0.0,PREY_WIN,2,0,85.0,0.0
106,-2.1899999999999973,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
107,-2.199999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
108,-2.289999999999995,350,0.0,PREY_WIN,2,0,84.80499999999999,0.0
109,-2.1899999999999973,350,0.0,PREY_WIN,2,0,85.0,0.0
110,-2.159999999999998,350,0.0,PREY_WIN,2,0,85.0,0.0
111,-2.259999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
112,14.816666666666677,350,0.0,PREY_WIN,1,0,100.0,0.0
113,14.626666666666484,350,0.0,PREY_WIN,1,0,100.0,0.0
114,-2.159999999999998,350,0.0,PREY_WIN,2,0,85.0,0.0
115,-2.299999999999995,350,0.0,PREY_WIN,2,0,84.865,0.0
116,-2.209999999999997,350,0.0,PREY_WIN,2,0,84.865,0.0
117,-2.339999999999994,350,0.0,PREY_WIN,2,0,84.66999999999999,0.0
118,-2.159999999999998,350,0.0,PREY_WIN,2,0,85.0,0.0
119,-2.299999999999995,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
120,-2.1899999999999973,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
121,-2.1899999999999973,350,0.0,PREY_WIN,2,0,85.0,0.0
122,-2.349999999999994,350,0.0,PREY_WIN,2,0,85.0,0.0
123,-2.159999999999998,350,0.0,PREY_WIN,2,0,84.45999999999998,0.0
124,-2.1899999999999973,350,0.0,PREY_WIN,2,0,85.0,0.0
125,-2.3299999999999943,350,0.0,PREY_WIN,2,0,85.0,0.0
126,-2.239999999999996,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
127,-2.2299999999999964,350,0.0,PREY_WIN,2,0,84.59499999999998,0.0
128,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
129,25.406666666666663,61,0.0,PREDATOR_WIN,1,1,70.0,88.87999999999985
130,-2.239999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
131,-2.2299999999999964,350,0.0,PREY_WIN,2,0,85.0,0.0
132,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
133,-2.2199999999999966,350,0.0,PREY_WIN,2,0,84.865,0.0
134,-2.1799999999999975,350,0.0,PREY_WIN,2,0,84.59499999999998,0.0
135,-2.239999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
136,-2.2199999999999966,350,0.0,PREY_WIN,2,0,85.0,0.0
137,-2.4599999999999915,350,0.0,PREY_WIN,2,0,84.865,0.0
138,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
139,-2.249999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
140,-2.1699999999999977,350,0.0,PREY_WIN,2,0,85.0,0.0
141,-2.1699999999999977,350,0.0,PREY_WIN,2,0,84.74499999999999,0.0
142,-2.1899999999999973,350,0.0,PREY_WIN,2,0,84.865,0.0
143,-2.1899999999999973,350,0.0,PREY_WIN,2,0,85.0,0.0
144,-2.1899999999999973,350,0.0,PREY_WIN,2,0,84.66999999999999,0.0
145,-2.199999999999997,350,0.0,PREY_WIN,2,0,84.59499999999998,0.0
146,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
147,-2.159999999999998,350,0.0,PREY_WIN,2,0,84.94,0.0
148,25.184166666666655,63,0.0,PREDATOR_WIN,1,1,70.0,84.83749999999995
149,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
150,-2.3099999999999947,350,0.0,PREY_WIN,2,0,84.865,0.0
151,-2.239999999999996,350,0.0,PREY_WIN,2,0,84.865,0.0
152,-2.1399999999999983,350,0.0,PREY_WIN,2,0,84.66999999999999,0.0
153,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
154,-2.239999999999996,350,0.0,PREY_WIN,2,0,84.865,0.0
155,-2.1699999999999977,350,0.0,PREY_WIN,2,0,85.0,0.0
156,-2.1699999999999977,350,0.0,PREY_WIN,2,0,85.0,0.0
157,-2.2699999999999956,350,0.0,PREY_WIN,2,0,85.0,0.0
158,-2.1799999999999975,350,0.0,PREY_WIN,2,0,84.865,0.0
159,-2.249999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
160,-2.289999999999995,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
161,-2.199999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
162,-2.199999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
163,-2.349999999999994,350,0.0,PREY_WIN,2,0,85.0,0.0
164,-2.289999999999995,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
165,-2.2199999999999966,350,0.0,PREY_WIN,2,0,85.0,0.0
166,-2.2299999999999964,350,0.0,PREY_WIN,2,0,85.0,0.0
167,-2.159999999999998,350,0.0,PREY_WIN,2,0,84.865,0.0
168,-2.289999999999995,350,0.0,PREY_WIN,2,0,85.0,0.0
169,-2.249999999999996,350,0.0,PREY_WIN,2,0,84.45999999999998,0.0
170,-2.2699999999999956,350,0.0,PREY_WIN,2,0,85.0,0.0
171,-2.2799999999999954,350,0.0,PREY_WIN,2,0,85.0,0.0
172,-2.199999999999997,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
173,-2.2699999999999956,350,0.0,PREY_WIN,2,0,85.0,0.0
174,-2.399999999999993,350,0.0,PREY_WIN,2,0,85.0,0.0
175,-2.3799999999999932,350,0.0,PREY_WIN,2,0,85.0,0.0
176,-2.3699999999999934,350,0.0,PREY_WIN,2,0,84.59499999999998,0.0
177,-2.1699999999999977,350,0.0,PREY_WIN,2,0,85.0,0.0
178,-2.239999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
179,-2.259999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
180,-2.159999999999998,350,0.0,PREY_WIN,2,0,85.0,0.0
181,-2.149999999999998,350,0.0,PREY_WIN,2,0,85.0,0.0
182,-2.259999999999996,350,0.0,PREY_WIN,2,0,84.865,0.0
183,-2.239999999999996,350,0.0,PREY_WIN,2,0,84.865,0.0
184,25.636666666666663,38,0.0,PREDATOR_WIN,1,1,70.0,95.23999999999992
185,24.434166666666655,135,0.0,PREDATOR_WIN,1,1,70.0,58.16750000000029
186,-2.2299999999999964,350,0.0,PREY_WIN,2,0,85.0,0.0
187,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
188,-2.239999999999996,350,0.0,PREY_WIN,2,0,84.865,0.0
189,-2.2199999999999966,350,0.0,PREY_WIN,2,0,84.865,0.0
190,-2.2799999999999954,350,0.0,PREY_WIN,2,0,85.0,0.0
191,-2.2299999999999964,350,0.0,PREY_WIN,2,0,84.865,0.0
192,14.886666666666454,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0
193,-2.2799999999999954,350,0.0,PREY_WIN,2,0,85.0,0.0
194,-2.1899999999999973,350,0.0,PREY_WIN,2,0,84.865,0.0
195,-2.439999999999992,350,0.0,PREY_WIN,2,0,85.0,0.0
196,-2.1899999999999973,350,0.0,PREY_WIN,2,0,85.0,0.0
197,-2.239999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
198,-2.1399999999999983,350,0.0,PREY_WIN,2,0,85.0,0.0
199,-2.2199999999999966,350,0.0,PREY_WIN,2,0,84.865,0.0
200,-2.349999999999994,350,0.0,PREY_WIN,2,0,85.0,0.0
201,-2.239999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
202,-2.199999999999997,350,0.0,PREY_WIN,2,0,84.865,0.0
203,-2.159999999999998,350,0.0,PREY_WIN,2,0,85.0,0.0
204,-2.299999999999995,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
205,-2.2199999999999966,350,0.0,PREY_WIN,2,0,85.0,0.0
206,-2.239999999999996,350,0.0,PREY_WIN,2,0,84.865,0.0
207,-2.2799999999999954,350,0.0,PREY_WIN,2,0,85.0,0.0
208,-2.249999999999996,350,0.0,PREY_WIN,2,0,84.865,0.0
209,-2.2299999999999964,350,0.0,PREY_WIN,2,0,84.865,0.0
210,-2.3099999999999947,350,0.0,PREY_WIN,2,0,85.0,0.0
211,-2.2199999999999966,350,0.0,PREY_WIN,2,0,84.865,0.0
212,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
213,-2.4099999999999926,350,0.0,PREY_WIN,2,0,84.865,0.0
214,14.836666666666522,350,0.0,PREY_WIN,1,0,100.0,0.0
215,-2.199999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
216,14.866666666666564,350,0.0,PREY_WIN,1,0,100.0,0.0
217,-2.1899999999999973,350,0.0,PREY_WIN,2,0,85.0,0.0
218,-2.239999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
219,-2.199999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
220,24.816666666666663,120,0.0,PREDATOR_WIN,1,1,70.0,64.70000000000019
221,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
222,-2.4699999999999913,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
223,-2.1899999999999973,350,0.0,PREY_WIN,2,0,85.0,0.0
224,-2.2199999999999966,350,0.0,PREY_WIN,2,0,85.0,0.0
225,-2.3299999999999943,350,0.0,PREY_WIN,2,0,84.865,0.0
226,-2.299999999999995,350,0.0,PREY_WIN,2,0,85.0,0.0
227,-2.259999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
228,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
229,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
230,-2.1399999999999983,350,0.0,PREY_WIN,2,0,85.0,0.0
