episode,reward,steps,eval_reward,outcome,prey_population,predator_population,avg_prey_energy,avg_predator_energy,coexistence_score
44,-2.239999999999996,350,0.0,PREY_WIN,1,0,94.7799999999998,0.0,0.0
45,-2.199999999999997,350,0.0,PREY_WIN,1,0,98.37999999999994,0.0,0.0
46,-2.239999999999996,350,0.0,PREY_WIN,1,0,98.37999999999994,0.0,0.0
47,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
48,-2.1199999999999988,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
49,-2.1699999999999977,350,0.0,PREY_WIN,1,0,96.75999999999988,0.0,0.0
50,-2.349999999999994,350,0.0,PREY_WIN,1,0,95.43999999999983,0.0,0.0
51,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
52,-2.3599999999999937,350,0.0,PREY_WIN,1,0,95.43999999999983,0.0,0.0
53,-2.259999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
54,-2.2799999999999954,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
55,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
56,-2.159999999999998,350,0.0,PREY_WIN,1,0,98.25999999999993,0.0,0.0
57,-2.259999999999996,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
58,-2.3099999999999947,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
59,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
60,-2.249999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
61,-2.159999999999998,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
62,-2.2199999999999966,350,0.0,PREY_WIN,1,0,96.90999999999988,0.0,0.0
63,-2.109999999999999,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
64,-2.149999999999998,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
65,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
66,-2.289999999999995,350,0.0,PREY_WIN,1,0,98.91999999999996,0.0,0.0
67,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
68,-2.2699999999999956,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
69,-2.289999999999995,350,0.0,PREY_WIN,1,0,98.91999999999996,0.0,0.0
70,-2.4099999999999926,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
71,-2.2699999999999956,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
72,-2.2799999999999954,350,0.0,PREY_WIN,1,0,97.1799999999999,0.0,0.0
73,-2.199999999999997,350,0.0,PREY_WIN,1,0,98.37999999999994,0.0,0.0
74,-2.299999999999995,350,0.0,PREY_WIN,1,0,96.78999999999988,0.0,0.0
75,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
76,-2.3099999999999947,350,0.0,PREY_WIN,1,0,97.98999999999992,0.0,0.0
77,-2.1899999999999973,350,0.0,PREY_WIN,1,0,98.91999999999996,0.0,0.0
78,-2.3199999999999945,350,0.0,PREY_WIN,1,0,99.33999999999997,0.0,0.0
79,-2.489999999999991,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
80,-2.259999999999996,350,0.0,PREY_WIN,1,0,98.94999999999996,0.0,0.0
81,-2.429999999999992,350,0.0,PREY_WIN,1,0,98.37999999999994,0.0,0.0
82,-2.439999999999992,350,0.0,PREY_WIN,1,0,98.13999999999993,0.0,0.0
83,-2.1299999999999986,350,0.0,PREY_WIN,1,0,98.79999999999995,0.0,0.0
84,29.187499999999968,204,0.0,PREDATOR_WIN,0,1,0.0,30.14750000000023,0.0
85,-2.149999999999998,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
86,-2.209999999999997,350,0.0,PREY_WIN,1,0,98.37999999999994,0.0,0.0
87,-2.349999999999994,350,0.0,PREY_WIN,1,0,99.60999999999999,0.0,0.0
88,-2.249999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
89,-2.149999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
90,-2.249999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
91,-2.149999999999998,350,0.0,PREY_WIN,1,0,98.91999999999996,0.0,0.0
92,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
93,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
94,-2.289999999999995,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
95,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
96,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
97,-2.2699999999999956,350,0.0,PREY_WIN,1,0,98.37999999999994,0.0,0.0
98,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
99,-2.259999999999996,350,0.0,PREY_WIN,1,0,95.28999999999982,0.0,0.0
100,-2.299999999999995,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
101,-2.199999999999997,350,0.0,PREY_WIN,1,0,98.37999999999994,0.0,0.0
102,-2.159999999999998,350,0.0,PREY_WIN,1,0,99.88,0.0,0.0
103,-2.3699999999999934,350,0.0,PREY_WIN,1,0,98.67999999999995,0.0,0.0
104,-2.159999999999998,350,0.0,PREY_WIN,1,0,99.33999999999997,0.0,0.0
105,-2.2799999999999954,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
106,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
107,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
108,-2.239999999999996,350,0.0,PREY_WIN,1,0,98.64999999999995,0.0,0.0
109,-2.2199999999999966,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
110,-2.2299999999999964,350,0.0,PREY_WIN,1,0,98.10999999999993,0.0,0.0
111,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
112,30.31249999999997,102,0.0,PREDATOR_WIN,0,1,0.0,70.3925000000001,0.0
113,-2.3099999999999947,350,0.0,PREY_WIN,1,0,99.75999999999999,0.0,0.0
114,-2.2299999999999964,350,0.0,PREY_WIN,1,0,99.33999999999997,0.0,0.0
115,-2.1899999999999973,350,0.0,PREY_WIN,1,0,98.91999999999996,0.0,0.0
116,-2.2699999999999956,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
117,-2.209999999999997,350,0.0,PREY_WIN,1,0,97.98999999999992,0.0,0.0
118,-2.249999999999996,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
119,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
120,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
121,-2.3199999999999945,350,0.0,PREY_WIN,1,0,98.25999999999993,0.0,0.0
122,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
123,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
124,-2.3599999999999937,350,0.0,PREY_WIN,1,0,99.33999999999997,0.0,0.0
125,-2.239999999999996,350,0.0,PREY_WIN,1,0,98.52999999999994,0.0,0.0
126,-2.339999999999994,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
127,-2.159999999999998,350,0.0,PREY_WIN,1,0,99.06999999999996,0.0,0.0
128,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
129,-2.2299999999999964,350,0.0,PREY_WIN,1,0,98.64999999999995,0.0,0.0
130,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
131,-2.1699999999999977,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
132,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.09999999999997,0.0,0.0
133,-2.429999999999992,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
134,-2.2199999999999966,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
135,-2.489999999999991,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
136,-2.399999999999993,350,0.0,PREY_WIN,1,0,99.21999999999997,0.0,0.0
137,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
138,-2.389999999999993,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
139,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
140,-2.2199999999999966,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
141,-2.3199999999999945,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
142,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
143,-2.259999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
144,-2.2799999999999954,350,0.0,PREY_WIN,1,0,98.91999999999996,0.0,0.0
145,-2.159999999999998,350,0.0,PREY_WIN,1,0,99.88,0.0,0.0
146,-2.3199999999999945,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
147,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
148,-2.3599999999999937,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
149,-2.249999999999996,350,0.0,PREY_WIN,1,0,98.52999999999994,0.0,0.0
150,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.88,0.0,0.0
151,-2.289999999999995,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
152,-2.3299999999999943,350,0.0,PREY_WIN,1,0,97.77999999999992,0.0,0.0
153,-2.399999999999993,350,0.0,PREY_WIN,1,0,98.91999999999996,0.0,0.0
154,-2.1799999999999975,350,0.0,PREY_WIN,1,0,99.06999999999996,0.0,0.0
155,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
156,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.88,0.0,0.0
157,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
158,-2.289999999999995,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
159,-2.159999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
