episode,reward,steps,eval_reward,outcome,prey_population,predator_population,avg_prey_energy,avg_predator_energy
1,-2.249999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
2,-2.1799999999999975,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0
3,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0
4,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0
5,-2.429999999999992,350,0.0,PREY_WIN,1,0,100.0,0.0
6,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
7,-2.7899999999999845,350,0.0,PREY_WIN,1,0,100.0,0.0
8,-2.9799999999999804,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0
9,-3.0599999999999787,350,0.0,PREY_WIN,1,0,100.0,0.0
10,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
11,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
12,-2.5599999999999894,350,0.0,PREY_WIN,1,0,100.0,0.0
13,-3.279999999999974,350,0.0,PREY_WIN,1,0,100.0,0.0
14,29.70749999999999,8,0.0,PREDATOR_WIN,0,1,0.0,100.0
15,-2.52999999999999,350,0.0,PREY_WIN,1,0,100.0,0.0
16,-2.339999999999994,350,0.0,PREY_WIN,1,0,100.0,0.0
17,-2.53999999999999,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0
18,-2.4999999999999907,350,0.0,PREY_WIN,1,0,100.0,0.0
19,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0
20,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
21,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
22,-2.1799999999999975,350,0.0,PREY_WIN,1,0,100.0,0.0
23,-2.3199999999999945,350,0.0,PREY_WIN,1,0,100.0,0.0
24,29.62749999999999,16,0.0,PREDATOR_WIN,0,1,0.0,100.0
25,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0
26,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
27,-2.389999999999993,350,0.0,PREY_WIN,1,0,100.0,0.0
28,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
29,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
30,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
31,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0
32,-2.3599999999999937,350,0.0,PREY_WIN,1,0,100.0,0.0
33,-2.9699999999999807,350,0.0,PREY_WIN,1,0,100.0,0.0
34,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0
35,-2.4499999999999917,350,0.0,PREY_WIN,1,0,100.0,0.0
36,29.63749999999999,15,0.0,PREDATOR_WIN,0,1,0.0,100.0
37,-2.3099999999999947,350,0.0,PREY_WIN,1,0,100.0,0.0
38,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0
39,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
40,-2.1399999999999983,350,0.0,PREY_WIN,1,0,100.0,0.0
41,-2.429999999999992,350,0.0,PREY_WIN,1,0,100.0,0.0
42,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0
43,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
44,29.43499999999999,42,0.0,PREDATOR_WIN,0,1,0.0,93.12499999999991
45,-2.859999999999983,350,0.0,PREY_WIN,1,0,100.0,0.0
46,-2.4599999999999915,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0
47,-2.109999999999999,350,0.0,PREY_WIN,1,0,100.0,0.0
48,-2.159999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0
49,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
50,29.677499999999988,11,0.0,PREDATOR_WIN,0,1,0.0,100.0
51,-2.2699999999999956,350,0.0,PREY_WIN,1,0,100.0,0.0
52,-2.099999999999999,350,0.0,PREY_WIN,1,0,100.0,0.0
53,-2.3799999999999932,350,0.0,PREY_WIN,1,0,100.0,0.0
54,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0
55,-2.1399999999999983,350,0.0,PREY_WIN,1,0,100.0,0.0
56,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
57,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0
58,-2.399999999999993,350,0.0,PREY_WIN,1,0,100.0,0.0
59,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0
60,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
61,-2.1299999999999986,350,0.0,PREY_WIN,1,0,100.0,0.0
62,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
63,-2.1399999999999983,350,0.0,PREY_WIN,1,0,100.0,0.0
64,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
65,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0
66,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0
67,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0
68,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0
69,29.252499999999994,67,0.0,PREDATOR_WIN,0,1,0.0,84.19249999999994
70,-2.52999999999999,350,0.0,PREY_WIN,1,0,100.0,0.0
71,-2.7999999999999843,350,0.0,PREY_WIN,1,0,100.0,0.0
72,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
73,28.079999999999963,107,0.0,PREDATOR_WIN,0,1,0.0,66.92000000000016
74,-2.6399999999999877,350,0.0,PREY_WIN,1,0,100.0,0.0
